ID,Name,Pos,Price,Team,Pts,32,33,34,35,36,37,38
132974,Rodri,MID,5,MCI,,3.145004181,3.473344686,3.6570405,3.320001585,5.968036787,3.18709889,3.45508687
28842,Sissoko,MID,4.5,WAT,,3.560283387,3.523645981,2.816649347,3.562446119,6.144960313,3.437866177,2.933105712
226985,Mwepu,MID,5.5,BHA,,3.208739703,4.945929467,3.531694018,3.30586733,3.404864124,3.364169598,3.499716798
88564,R Pereira,DEF,5.2,LEI,,3.274521789,4.591878653,3.090098919,1.929295342,5.751615386,3.976196723,3.097784847
231959,Sa,GK,5,WOL,,3.877887738,0,4.009654986,4.278008318,7.014096378,4.436508088,3.749960025
23053,Cleverley,MID,5,WAT,,3.590898503,3.551608483,2.884697156,3.586776819,5.647414937,3.472207772,2.994577856
242879,A Armstrong,FWD,6.1,SOU,,2.740653601,5.421819342,3.304990756,3.591701984,3.471159789,3.33164502,3.439911435
192212,Canos,MID,5.3,BRE,,3.746072238,3.6477594,3.560805455,3.310693263,3.793926641,3.5398103,3.99428742
257179,Cucurella,MID,4.5,BHA,,3.046677873,5.437153045,3.406308965,3.206112205,3.284346507,3.21898613,3.378998054
206669,Moder,MID,5,BHA,,3.046677873,5.437153045,3.406308965,3.206112205,3.284346507,3.21898613,3.378998054
282728,Kalu,MID,5.5,WAT,,3.621806646,3.58234201,2.945779189,3.615128925,5.288521745,3.507375207,3.050674634
225311,Sema,MID,5.4,WAT,,3.596987443,3.55852352,2.91049894,3.592626161,5.473489934,3.481415805,3.017347886
184926,Tella,MID,5,SOU,,3.20460455,5.373814547,3.182483522,3.442750794,3.24412422,3.146361141,3.173275314
23236,Romeu,MID,4.5,SOU,,3.113617388,5.856750677,3.06908636,3.336792319,3.113871173,3.040665413,3.038507053
272775,Sarmiento,MID,5.5,BHA,,3.035542355,5.417280409,3.393859006,3.194393959,3.272342316,3.207220829,3.366647915
23127,Lallana,MID,5.5,BHA,,3.08888332,4.938053067,3.500828859,3.286753056,3.37836708,3.33425554,3.470653398
110898,Almiron,MID,5.5,NEW,,3.071619561,5.111355931,3.736123631,3.217909833,2.876642109,3.4107391,3.3928454
230250,Tavares,DEF,4.6,ARS,,3.984008184,4.924747773,3.040356813,2.690534531,3.93401979,2.587538694,2.994744129
23044,Stones,DEF,5.8,MCI,,2.972789675,3.783957927,3.793526395,3.240928144,5.067345185,3.094203857,3.525512159
84632,Willock,MID,5.4,NEW,,2.922270372,5.359971953,3.718095798,3.160724487,2.795014833,3.354708129,3.333554096
182119,Castagne,DEF,4.9,LEI,,3.14019768,4.664522065,2.936919997,1.758072903,5.847867989,4.000539544,2.930500429
230249,Olise,MID,5.5,CRY,,2.969191612,3.243888444,3.780465545,3.292359887,3.823211402,5.401669886,3.451020847
137292,Justin,DEF,4.9,LEI,,3.207763968,4.502016106,3.023641772,1.893447535,5.612132674,3.900628511,3.027387179
241033,Varane,DEF,5.4,MUN,,3.289772602,5.43713951,2.544196508,3.756914106,3.214678762,2.927172564,3.125803687
147612,Alzate,MID,5,BHA,,3.055904743,5.022273991,3.382808667,3.202241269,3.270927529,3.213611729,3.357790854
132426,D James,MID,6,LEE,,4.205511858,0,3.83702327,3.541406328,6.516444853,4.301999541,4.035505411
186746,Lookman,MID,6,LEI,,3.193990827,4.079027616,3.186652325,2.85208968,4.532169131,3.948634276,3.229126694
23479,Dier,DEF,4.8,TOT,,2.897061811,3.772588357,3.190572018,3.376991304,4.509304075,4.003251723,3.739221765
242864,Kucka,MID,5.5,WAT,,3.541557802,3.498893089,2.866999204,3.529679763,5.015422434,3.42665594,2.970294908
176642,Meslier,GK,4.9,LEE,,3.879797482,0,3.740456917,3.815197581,7.048355654,4.161558389,3.893065919
181309,van de Beek,MID,5.8,EVE,,3.022381135,3.4845484,2.899230187,3.138528195,4.744459117,5.027660915,3.05243849
192747,McLean,MID,5,NOR,,3.414168201,2.976516614,3.381288939,3.047412985,5.845726586,3.109212776,3.132997127
92351,Vydra,FWD,5.4,BUR,,3.455800598,4.574200345,3.342730677,3.238528265,3.074715318,3.331425899,2.805779253
186823,Fofana,DEF,4.5,LEI,,3.009893034,4.591212443,2.801814109,1.611201495,5.810132091,3.906944189,2.79045556
88625,Vestergaard,DEF,4.9,LEI,,3.004130638,4.544703056,2.798014907,1.618002103,5.743623631,3.871731274,2.786871739
23135,Matip,DEF,5.8,LIV,,2.20423759,3.334354957,3.898449881,3.511540278,5.141792197,3.178852303,3.867662464
92386,Targett,DEF,4.7,NEW,,3.615655552,5.983348258,3.539245997,1.991095982,1.378817126,2.875352433,3.185737377
225310,Louza,MID,5.5,WAT,,3.410484783,3.380983666,2.781766354,3.414397303,5.060635872,3.308364074,2.878860819
