ID,Name,Pos,Price,Team,Pts,30,31,32,33,34,35,36,37,38
192199,Fosu,MID,5.5,BRE,,3.700187646,3.300196299,3.969496029,3.88730714,3.821677365,3.561112214,4.03320123,3.764480899,4.228192189
91130,Moutinho,MID,5.7,WOL,,3.712233495,3.444608351,3.279001406,0,3.322210182,3.430723306,5.211312201,3.70906974,2.953169719
242911,Wissa,MID,5.4,BRE,,3.700778524,3.288773656,3.976813149,3.893010076,3.825217475,3.55793867,4.042280833,3.766215371,4.243425766
192202,Dasilva,MID,5.5,BRE,,3.700778524,3.28115606,3.932324081,3.852687572,3.788090006,3.534744812,3.994399247,3.733364666,4.183921058
192208,Raya,GK,4.6,BRE,,3.639264272,3.637509366,3.829677664,3.780677463,3.599216436,3.548191849,3.901177683,3.744613848,3.920145155
24092,Hojbjerg,MID,5.1,TOT,,3.657520446,3.631534037,3.081209232,3.346639083,3.190569922,3.386174312,2.840391954,5.70110714,3.353746189
23539,Lanzini,MID,5.6,WHU,,3.532976016,4.03066266,3.661730489,4.031705656,3.322113675,3.744942315,3.851488619,3.445357621,3.553783038
187806,Partey,MID,5.5,ARS,,3.579354532,3.638451514,3.918596797,6.249533121,3.841202518,3.595256833,4.133682264,6.427417132,4.08128274
176640,Dallas,MID,5.4,LEE,,3.567907073,3.845347612,3.659698865,0,3.463527241,3.275509914,6.185628661,3.745426587,3.550505028
23448,Fabianski,GK,5.1,WHU,,3.438949109,4.068653712,3.86452973,4.217372972,3.597523365,3.784373547,4.036109555,3.604837796,3.835364475
192212,Canos,MID,5.3,BRE,,3.575705651,3.159411844,3.878334648,3.773626833,3.720330107,3.428367643,3.945585087,3.647544283,4.146657806
23479,Dier,DEF,4.8,TOT,,3.376109375,3.808593686,2.797110645,3.639062917,3.208209901,3.363409234,1.575994409,6.441611521,3.609231615
88539,Saiss,DEF,4.9,WOL,,3.433545281,3.190886485,2.943956247,0,3.127126891,3.385766446,3.579984464,4.004925769,1.329407158
88575,Yarmolenko,MID,5.6,WHU,,3.305206293,3.700264465,3.391724224,3.708579415,3.121050463,3.463911388,3.536938443,3.22658689,3.315890731
176655,Klich,MID,5.4,LEE,,3.394885793,3.065686808,2.745165248,0,2.624400988,2.517047794,3.891472679,2.809172988,2.678072611
257275,Emerson R,DEF,5,TOT,,3.273014442,3.629301514,2.714672203,3.472143942,3.083215831,3.236212487,1.624651717,5.593814669,3.447879844
45069,Perez,MID,6,LEI,,3.379012252,2.790777081,3.417248019,4.977131044,3.342211934,3.03269307,5.458535168,4.831363444,3.393067983
