ID,Name,Pos,Price,Team,Pts,35,36,37,38
23376,Lowton,DEF,4.6,BUR,,2.729096705,2.776936517,3.262689522,3.139899892
278659,Trippier,DEF,4.7,NEW,,1.636471559,1.289630725,2.635468826,3.057161733
32948,Wan-Bissaka,DEF,5.3,MUN,,3.429126284,2.972935249,0,2.955667326
176643,Struijk,DEF,4.1,LEE,,0.702721603,1.367497051,1.394908523,1.101381983
180456,Koch,DEF,4.3,LEE,,1.120180433,2.052283602,2.074336754,1.67258045
23101,Amartey,DEF,4.1,LEI,,0.392554149,0.796519016,0.598487735,0.590606951
106466,Kilman,DEF,4.8,WOL,,3.204748102,2.807702968,3.474108745,1.202007537
242874,Kenny,DEF,4.4,EVE,,2.185222336,4.350976817,5.213449467,1.914131372
23379,Mee,DEF,5.1,BUR,,2.969443267,3.023889686,3.625778916,3.368559037
91162,Jonny,DEF,4.7,WOL,,3.283529252,3.092183336,3.494914732,1.195578722
23503,Cathcart,DEF,4.1,WAT,,2.570578147,3.8338203,2.096026252,1.051185063
178132,Tsimikas,DEF,4.4,LIV,,0.267948771,0.408897739,0.414929943,0.484243327
242872,Valery,DEF,4,SOU,,0.966887723,0.807217457,0.556820868,0.745767656
23260,Walker,DEF,5.6,MCI,,3.456215987,4.642561781,2.807772071,3.115187301
230254,Duffy,DEF,4.6,BHA,,3.319880411,2.899195534,2.941448298,3.335804557
24075,Holding,DEF,4.6,ARS,,2.398200397,3.125537402,1.794381762,2.069552473
226984,Firpo,DEF,4.3,LEE,,0.959644864,1.736596398,1.847575854,1.461711717
256301,Lyanco,DEF,4.5,SOU,,2.949341318,2.340468186,1.458038325,2.123858562
45072,Lascelles,DEF,4.3,NEW,,0.94466256,0.748296775,1.113209303,1.174772984
88479,Masina,DEF,4.4,WAT,,2.859834045,4.493319699,2.465883679,1.338375712
139838,Krafth,DEF,4.6,NEW,,1.44080215,1.015216744,1.427791546,1.413834675
23120,Gomez,DEF,5,LIV,,0.44725724,0.556214532,0.57512258,0.670513183
24382,Masuaku,DEF,4.9,WHU,,2.281278176,1.733298025,1.092936965,1.530997694
23015,Tomkins,DEF,4.5,CRY,,0.853310754,1.073650228,1.277952518,0.854595166
225298,Ngakia,DEF,4.5,WAT,,2.866309651,4.349453838,2.481123812,1.395143236
45117,Ritchie,DEF,4.2,NEW,,0.587765059,0.457332165,0.55067966,0.537521185
23037,Kelly,DEF,4,CRY,,0.054689168,0.065373809,0.243006589,0.05426947
23252,Bardsley,DEF,4,BUR,,0.224420519,0.199772807,0.117174942,0.088076265
132423,Hause,DEF,4.5,AVL,,0,0.110980938,0.12905322,0.082863585
192718,Byram,DEF,4.5,NOR,,1.674115652,3.685769787,2.351973919,1.614550086
25865,Manquillo,DEF,4,NEW,,0.381145722,0.278050169,0.270270734,0.230460942
23289,K Long,DEF,4,BUR,,0.241326226,0.179000309,0.032873252,0
280711,Toti,DEF,4.5,WOL,,0.205417015,0.099525487,0.06959742,0.018082664
225312,Mosquera,DEF,4.5,WOL,,0.200705236,0.093881165,0.063989569,0
23242,J Stephens,DEF,4.5,SOU,,3.033354636,2.377755032,1.425513548,2.14720849
225479,Giannoulis,DEF,4.5,NOR,,1.657733428,3.660595516,2.335698762,1.598284887
88450,Fredericks,DEF,4.5,WHU,,2.069841214,1.620001385,0.994617678,1.424063693
23241,Bertrand,DEF,4.5,LEI,,1.28086394,4.043076224,2.67339898,2.187675363
262155,Nkoulou,DEF,4.5,WAT,,2.849574044,4.411530962,2.460021567,1.352458847
274845,P Jones,DEF,4.5,MUN,,0.182906403,0.056019828,0,0
192734,Zimmermann,DEF,4.4,NOR,,1.511388839,3.452515978,2.207776185,1.478828057
88625,Vestergaard,DEF,4.9,LEI,,1.53071705,5.185306154,3.387242371,2.675854345
184652,Hoever,DEF,4.5,WOL,,0.097903995,0.072779946,0.105175269,0.059071638
134588,Pieters,DEF,4.6,BUR,,2.803225028,2.85348963,3.500968571,3.221396616
242875,Branthwaite,DEF,4,EVE,,0,0.024591481,0.0263858,0
230255,Jach,DEF,4.5,CRY,,0.748958276,0.946515259,1.197994339,0.749601569
192749,J Sorensen,DEF,4.5,NOR,,1.638340078,3.749975531,2.332180175,1.572075532
189708,Rodon,DEF,4.5,TOT,,0,0.02293521,0,0
23466,F Fernandez,DEF,4.4,NEW,,0.967181313,0.769244753,1.144009065,1.208772669
45114,Dummett,DEF,4.5,NEW,,0.986420834,0.787671864,1.170178591,1.237540405
23171,Bailly,DEF,5,MUN,,1.821388722,1.059409371,0,0.792519925
273846,McCarron,DEF,4,LEE,,0,0.013395919,0,0
260200,C Cresswell,DEF,4.5,LEE,,1.283810128,3.09265794,2.898233563,2.220355177
274593,Bradley,DEF,4,LIV,,0,0,0,0
274594,Beck,DEF,4,LIV,,0,0,0,0
274592,Koumetio,DEF,4,LIV,,0,0,0,0
280703,Kenedy,DEF,5,CHE,,0,0,0,0
273787,Ashby,DEF,4,WHU,,0,0,0,0
280662,Hjelde,DEF,4.5,LEE,,1.287388824,3.101278906,2.906312559,2.226544548
192723,Omobamidele,DEF,4,NOR,,0,0,0,0
225300,Troost-Ekong,DEF,4.2,WAT,,2.570578147,3.8338203,2.096026252,1.051185063
203020,Kabak,DEF,4.3,NOR,,1.458928163,3.363048677,2.096283113,1.41974
131352,Godfrey,DEF,4.5,EVE,,2.185222336,4.350976817,5.213449467,1.914131372
274923,Patterson,DEF,4.5,EVE,,2.185222336,4.350976817,5.213449467,1.914131372
225299,Sierralta,DEF,4.5,WAT,,2.859834045,4.493319699,2.465883679,1.338375712
259132,Zanka,DEF,4.5,BRE,,1.645176242,2.927420032,2.697466783,2.985084646
178020,N Ferguson,DEF,4.5,CRY,,0.729722502,0.923784672,1.18547666,0.730405514
157546,Tanganga,DEF,4.6,TOT,,0,0.02293521,0,0
237976,Livramento,DEF,4.9,SOU,,3.338399108,2.609102648,1.519106077,2.354821552
88449,Diop,DEF,4.9,WHU,,2.069841214,1.620001385,0.994617678,1.424063693
23278,Ogbonna,DEF,5.1,WHU,,2.705495938,3.891058816,1.910503721,3.133813522
91483,Digne,DEF,5.2,AVL,,4.592359407,5.069909574,7.21589913,1.340808379
88464,Doherty,DEF,5.2,TOT,,3.741291899,4.443472193,4.250411783,4.081856656
23188,Shaw,DEF,5.4,MUN,,3.429126284,2.972935249,0,2.955667326
139989,Tierney,DEF,5.7,ARS,,2.997511409,5.850809893,3.4693918,4.176186312
24083,Chilwell,DEF,6.4,CHE,,4.457644662,7.670693702,4.646960675,5.179213472
45106,Salah,MID,13.6,LIV,,7.337719194,11.6099723,7.429334784,7.87376559
23472,Son,MID,10.5,TOT,,6.907423798,9.252112494,7.145258911,7.308813182
278661,Coutinho,MID,6.6,AVL,,6.754189831,8.137416141,9.389854131,3.812958051
23126,Mane,MID,10.6,LIV,,6.723557959,10.33145159,6.465632486,6.76791054
55898,Foden,MID,8.1,MCI,,6.005314817,9.60227368,5.497508812,5.853975418
23161,De Bruyne,MID,11.5,MCI,,6.098705721,9.65299767,5.598061197,5.975653806
88567,Jota,MID,7.9,LIV,,6.216256505,9.009681136,5.699488763,5.993264396
182529,Havertz,MID,7.9,CHE,,5.207511132,8.565784766,5.724453585,6.167417701
88492,Maddison,MID,7,LEI,,3.99369422,8.807279709,6.899781013,5.07400946
23023,Zaha,MID,7.2,CRY,,4.70028522,5.557008461,8.18855923,4.860068791
45081,B Silva,MID,7.3,MCI,,4.992616073,8.445924011,4.636692702,4.942228166
139971,I Sarr,MID,6.2,WAT,,5.087593012,8.236922778,4.875091205,3.681058965
106430,Saka,MID,6.9,ARS,,4.633926419,8.756072939,4.961012933,5.599998168
45039,H Barnes,MID,7.2,LEI,,4.410956322,8.730569696,6.833475435,5.23559571
131333,McGinn,MID,5.6,AVL,,4.541493784,6.400569619,7.241423021,2.937935422
139802,Mount,MID,7.2,CHE,,4.656563118,7.561822925,4.951494055,5.301924824
291491,Kulusevski,MID,6.9,TOT,,5.129973888,6.897305037,5.255773427,5.309189968
187805,Raphinha,MID,7.5,LEE,,4.067958412,7.827406521,5.178056913,4.699387044
110910,Tielemans,MID,6.4,LEI,,3.507176053,7.558895265,6.177051373,4.259772004
23153,Sterling,MID,9.6,MCI,,6.114567277,8.949183643,5.583467857,5.957529626
