ID,Name,Pos,Price,Team,Pts,37,38
88625,Vestergaard,DEF,4.9,LEI,,3.287108138,2.559457904
23241,Bertrand,DEF,4.5,LEI,,1.582598414,1.447160015
45114,Dummett,DEF,4.5,NEW,,0.97183136,1.012076185
184652,Hoever,DEF,4.5,WOL,,0.391656751,0.199723002
25865,Manquillo,DEF,4,NEW,,0.098802203,0.049470713
23171,Bailly,DEF,5,MUN,,0,2.103778317
274845,P Jones,DEF,4.5,MUN,,0,0
280703,Kenedy,DEF,5,CHE,,0,0
192723,Omobamidele,DEF,4,NOR,,0,0
225300,Troost-Ekong,DEF,4.2,WAT,,2.251426165,1.21619468
176652,Ayling,DEF,4.3,LEE,,2.691842458,2.290247912
203020,Kabak,DEF,4.3,NOR,,0.528909505,0.399526581
23466,F Fernandez,DEF,4.4,NEW,,0.941916033,0.979787547
192734,Zimmermann,DEF,4.4,NOR,,0.528909505,0.399526581
274923,Patterson,DEF,4.5,EVE,,5.711390505,1.978281127
259132,Zanka,DEF,4.5,BRE,,2.528349745,2.838337539
225299,Sierralta,DEF,4.5,WAT,,2.270422828,1.378432885
178020,N Ferguson,DEF,4.5,CRY,,2.444563093,1.610739756
157546,Tanganga,DEF,4.6,TOT,,0.702035486,0.69315778
241952,Romero,DEF,4.7,TOT,,4.167815929,4.155940614
185167,Semedo,DEF,4.8,WOL,,4.47689053,1.456739894
106466,Kilman,DEF,4.8,WOL,,4.47689053,1.456739894
237976,Livramento,DEF,4.9,SOU,,1.472222635,2.345664991
23278,Ogbonna,DEF,5.1,WHU,,1.783713446,2.894965149
88464,Doherty,DEF,5.2,TOT,,4.513933742,4.450393025
184661,Reguilon,DEF,5.3,TOT,,4.513933742,4.450393025
23188,Shaw,DEF,5.4,MUN,,0,2.719505301
23260,Walker,DEF,5.6,MCI,,4.136940893,4.434791457
139989,Tierney,DEF,5.7,ARS,,3.376490204,4.032411121
23044,Stones,DEF,5.8,MCI,,4.136940893,4.434791457
186737,Dias,DEF,6.3,MCI,,4.136940893,4.434791457
24083,Chilwell,DEF,6.4,CHE,,4.330575021,4.93014904
274593,Bradley,DEF,4,LIV,,0,0
274594,Beck,DEF,4,LIV,,0,0
274592,Koumetio,DEF,4,LIV,,0,0
273846,McCarron,DEF,4,LEE,,0,0
88539,Saiss,DEF,4.9,WOL,,4.003646468,1.360245421
273787,Ashby,DEF,4,WHU,,0,0
88449,Diop,DEF,4.9,WHU,,1.155091192,1.578777593
67736,Johnson,DEF,4.3,WHU,,0.871110459,1.26527348
88479,Masina,DEF,4.4,WAT,,2.270422828,1.378432885
45117,Ritchie,DEF,4.2,NEW,,0.234152601,0.194544523
262155,Nkoulou,DEF,4.5,WAT,,2.273118632,1.391038822
242872,Valery,DEF,4,SOU,,0.108310368,0.13467129
23242,J Stephens,DEF,4.5,SOU,,1.322787742,2.123815962
225298,Ngakia,DEF,4.5,WAT,,2.448465685,1.425501593
256301,Lyanco,DEF,4.5,SOU,,1.325452821,2.117350163
192718,Byram,DEF,4.5,NOR,,0.988417254,0.766824874
24382,Masuaku,DEF,4.9,WHU,,1.070307516,1.480190086
88450,Fredericks,DEF,4.5,WHU,,0.971969598,1.373837639
23503,Cathcart,DEF,4.1,WAT,,2.251426165,1.21619468
192749,J Sorensen,DEF,4.5,NOR,,0.968249782,0.74659579
46637,Walker-Peters,DEF,4.7,SOU,,1.472222635,2.345664991
