ID,Name,Pos,Price,Team,Pts,31,32,33,34,35,36,37,38
161009,Brownhill,MID,5.1,BUR,,5.998087244,3.453304651,5.973593087,5.966366148,3.319643871,3.411276591,3.024624561,3.486638496
23360,Wilson,FWD,7.6,NEW,,4.087232754,4.53672308,7.42263133,4.256056125,3.738467853,3.287774556,4.11165178,4.103889016
23397,Schmeichel,GK,5,LEI,,3.219948162,3.851561236,6.615046926,3.664022507,3.141738775,7.382321583,6.426091674,3.69124961
45474,Richarlison,FWD,6.7,EVE,,6.078986502,3.757351397,3.945129372,3.116147232,3.286260678,6.340685837,6.613434892,3.284749981
23097,Vardy,FWD,9.5,LEI,,3.724927548,4.135611755,4.677044354,3.850570334,3.79806054,7.305589405,5.995033299,4.44659394
77347,Laporte,DEF,6.2,MCI,,4.750958646,3.437598353,4.538394892,4.77767994,3.987935556,6.776153777,4.12094801,4.345081731
187806,Partey,MID,5.5,ARS,,3.673161209,3.953829494,6.372755621,3.873210558,3.627453277,6.929273831,3.734313783,4.125258755
23238,van Dijk,DEF,6.7,LIV,,4.962904143,2.6908895,4.063271114,4.878522046,4.31839523,7.140071598,3.985563574,4.876779174
186737,Dias,DEF,6.3,MCI,,4.750958646,3.198386349,4.371177169,4.731104764,3.929810095,7.052255388,4.125738012,4.332713137
283021,Diaz,MID,5.6,LIV,,4.791674971,3.564969025,4.311129096,4.567083553,4.189413918,6.012732659,4.132382571,4.421247022
187805,Raphinha,MID,7.4,LEE,,5.343024929,5.095220053,0,4.631098923,4.191619293,7.640915527,5.065977376,4.804801884
160700,Soucek,MID,6,WHU,,4.869652467,4.380527,4.908045935,3.757191088,4.439355877,7.826999208,0,4.160655826
88507,S Armstrong,MID,5.7,SOU,,4.229648969,3.791282242,6.733889802,3.84101687,4.31255753,4.028552816,3.817806061,3.974939623
23324,Walcott,MID,5.9,SOU,,4.222625884,3.788622309,6.668611408,3.838070752,4.305666582,4.024085101,3.814928645,3.970906861
131313,Martinez,GK,5.5,AVL,,4.207368936,4.029158788,0,7.879624348,4.646641962,7.678213847,4.417336552,4.005765925
132429,Djenepo,MID,5.9,SOU,,4.220404079,3.786690192,6.667512293,3.835625421,4.304012241,4.021761316,3.813073203,3.968592292
23259,Lloris,GK,5.6,TOT,,4.236248432,3.80322653,4.247120523,4.018344031,4.009773786,7.013078357,4.353064217,4.19598426
234800,D Gray,MID,5.8,EVE,,5.566482267,3.809723273,3.939522835,3.157394282,3.3961837,5.71442475,5.941953164,3.354724034
132425,Fornals,MID,6.1,WHU,,4.969164831,4.342676796,4.831386166,3.683188618,4.36721422,7.143560681,0,4.083951951
184630,Gallagher,MID,6.2,CRY,,4.009136726,3.86684447,3.83875643,4.570565882,3.848690252,7.716144454,3.749033022,4.126019039
242910,Elyounoussi,MID,5.3,SOU,,4.099847378,3.740005862,6.391968662,3.787026038,4.28582567,3.987629749,3.779739178,3.938791556
24380,Pogba,MID,6.7,MUN,,4.227498424,3.913038528,6.310614447,3.623401529,4.278869436,3.726104409,3.703225977,3.802657366
115171,M Greenwood,MID,7.2,MUN,,4.227498424,3.913038528,6.310614447,3.623401529,4.278869436,3.726104409,3.703225977,3.802657366
192214,Mbeumo,MID,5.7,BRE,,3.589217679,4.594456102,4.48105848,4.340764512,3.999361831,4.662532535,4.290500772,4.958994324
23226,Redmond,MID,6,SOU,,4.091864491,3.725277804,6.079532784,3.811141853,4.241031921,3.984023209,3.788337928,3.935852772
189709,Benrahma,MID,6,WHU,,4.92092526,4.313981912,4.716525969,3.694406971,4.303901071,6.434811327,0,4.050670719
77662,Dubravka,GK,4.7,NEW,,3.208475309,4.113050834,7.256928535,4.001054555,3.505778179,3.448548024,3.742275732,3.878416697
192758,Pukki,FWD,6.1,NOR,,3.612938142,4.230075425,3.726962498,4.195404751,3.714116752,7.17695852,3.711797814,3.976987216
23287,Tarkowski,DEF,4.9,BUR,,5.154316754,3.378375143,5.340760433,5.751493383,2.949294217,3.175507646,1.8806926,3.594035297
183010,Fraser,MID,5.8,NEW,,3.640441607,4.128754923,6.356129672,4.176110158,3.559372541,3.137274642,3.684880787,3.635761642
163914,Mac Allister,MID,5.6,BHA,,4.483181409,3.548681771,5.299609735,3.995102062,3.669735752,3.85067382,3.80024311,3.952920915
23550,Antonio,FWD,7.5,WHU,,4.715303105,4.059348353,4.598247098,3.383842155,4.154855318,6.999814128,0,3.778398616
257280,C Roberts,DEF,4.5,BUR,,5.092062842,3.367932378,5.268798631,5.681186631,2.95792632,3.163222916,1.939852572,3.562748208
23134,Ings,FWD,7.6,AVL,,3.94030684,4.236180987,0,6.85196023,4.915336772,6.418770493,4.341115125,3.437605516
88639,Jorginho,MID,5.5,CHE,,3.873112495,3.537553412,3.694250865,3.787867109,3.604444055,6.011297142,5.859152466,3.939607055
77665,Lucas Moura,MID,6.3,TOT,,4.24650903,3.763572964,3.987561951,3.802483367,4.044973232,5.14965874,4.143053499,4.015385749
183114,Watkins,FWD,7.2,AVL,,3.745358225,4.067870498,0,7.249579009,4.861547689,6.718234578,4.208941318,3.199304188
176631,Ziyech,MID,7.1,CHE,,3.974375158,3.627092385,3.760244538,3.888411368,3.698790249,5.377597795,5.247168609,4.100752141
181309,van de Beek,MID,5.8,EVE,,5.689952643,3.030513721,3.649045966,3.003202838,3.222029058,5.250333389,5.430066852,3.169016197
23331,Welbeck,FWD,5.9,BHA,,4.452269912,3.515395495,5.168123512,3.933034844,3.525289632,3.836612838,3.794052631,3.892462994
23379,Mee,DEF,5.1,BUR,,4.965616192,3.197824727,5.047903457,5.851462897,3.005077711,3.219294745,1.938214149,3.63726824
134588,Pieters,DEF,4.6,BUR,,5.092062842,3.367932378,5.194480469,5.461147607,2.919383727,3.117259045,1.942988406,3.500475756
45084,Gross,MID,5.8,BHA,,4.439172151,3.528462511,4.937474078,3.949029347,3.638932455,3.813434605,3.765299647,3.909170608
184661,Reguilon,DEF,5.3,TOT,,4.772328697,3.356780742,4.042872444,3.589909232,3.874925429,4.315182358,4.362173771,4.073448931
184638,Thiago,MID,5.5,LIV,,4.226519627,3.309053538,3.83834462,4.041254029,3.763364204,5.929936218,3.704879386,3.967023221
23325,Chamberlain,MID,5.6,LIV,,4.230791366,3.321665442,3.847309941,4.04855236,3.772927838,5.841706883,3.715189719,3.974155194
23337,Xhaka,MID,4.9,ARS,,3.299002129,3.537260152,5.835354964,3.441471302,3.248283885,6.236197005,3.341615715,3.648852187
23364,King,FWD,5.5,WAT,,3.428121374,4.374097765,4.17274309,3.258279631,4.206912139,3.694282241,6.469007826,3.332877397
28849,Alonso,DEF,5.5,CHE,,4.279016223,3.312935589,3.485111341,3.726399319,3.568402279,5.65122808,5.048511376,4.090274613
88464,Doherty,DEF,5.2,TOT,,4.346712302,3.28300956,4.058114681,3.658510118,3.931260311,4.626754347,4.455536095,4.154985691
139989,Tierney,DEF,5.6,ARS,,3.397184838,3.925881172,5.264697584,3.221962219,3.040028981,5.874333565,3.501033869,4.100912128
192217,Toney,FWD,6.4,BRE,,3.305309327,4.290590093,4.14252706,4.100946607,3.750079102,4.348586308,3.92973798,4.662531642
131333,McGinn,MID,5.6,AVL,,3.757264951,3.870205582,0,7.104707543,4.43461344,6.711234033,4.062528093,3.220245448
23376,Lowton,DEF,4.6,BUR,,4.838756825,3.303273109,5.035489525,5.458274341,2.924118023,3.122849753,1.940335432,3.508922943
233400,Lokonga,MID,5,ARS,,3.285944613,3.51855013,5.687616139,3.424740068,3.236305608,6.072655065,3.32741936,3.627041479
240547,Bailey,MID,6.4,AVL,,3.944773246,4.071059947,0,6.451227658,4.648458267,6.103440068,4.249274343,3.408380459
181081,Gabriel,DEF,5.4,ARS,,3.357575472,3.913871767,5.222932873,3.208069268,2.999680774,5.886172884,3.467724432,4.104252562
