ID,Name,Pos,Price,Team,Pts,36,37,38
187802,Telles,DEF,5,MUN,,3.012026943,0,3.039783316
45060,Femenia,DEF,4.3,WAT,,4.626407493,2.439176394,1.279178246
278660,Samir,DEF,4.5,WAT,,4.633144247,2.284797183,1.030368241
24075,Holding,DEF,4.6,ARS,,2.788870822,1.521445474,1.446938439
23076,Maguire,DEF,5,MUN,,2.863556127,0,2.985473133
262617,M Sarr,DEF,5,CHE,,0.896015146,0.59466982,0.652093301
176667,Chambers,DEF,4.5,AVL,,1.0587076,1.362757078,0.533714404
23265,Kabasele,DEF,4,WAT,,3.415816545,1.85100889,0.987864025
192197,Pinnock,DEF,4.5,BRE,,2.922388551,2.640688945,3.203078233
45018,March,DEF,4.9,BHA,,3.314732175,3.322868245,3.668646359
88539,Saiss,DEF,4.9,WOL,,3.26254382,4.05518817,1.405147167
156990,Lamptey,DEF,4.6,BHA,,3.151939582,3.139204491,3.533077801
131320,Holgate,DEF,4.5,EVE,,3.898598425,4.681888489,1.892970149
56987,D Sanchez,DEF,4.6,TOT,,0.768786146,0.914316627,0.899011612
192743,Hanley,DEF,4.4,NOR,,3.771134883,2.347915906,1.564362905
226984,Firpo,DEF,4.3,LEE,,2.913253622,2.756340798,2.078780819
242908,Dalot,DEF,4.9,MUN,,2.31998499,0,2.261503439
23101,Amartey,DEF,4.1,LEI,,1.060005482,0.778769115,0.748604601
23379,Mee,DEF,5.1,BUR,,3.077421823,3.675370686,3.362169917
23018,J Ward,DEF,4.3,CRY,,0.925341179,1.17593928,0.74035411
186817,Coufal,DEF,4.9,WHU,,2.494164824,1.48936592,2.11470659
185165,Llorente,DEF,4.3,LEE,,2.729954471,2.527927987,1.978052626
192733,Gibson,DEF,4.3,NOR,,3.569391986,2.230868349,1.459963154
178132,Tsimikas,DEF,4.4,LIV,,0.410256459,0.417820042,0.485625972
23148,Zinchenko,DEF,5.5,MCI,,3.318259377,1.566614458,1.738596574
192745,Aarons,DEF,4.2,NOR,,3.32300182,2.090799196,1.404327835
92386,Targett,DEF,4.9,NEW,,1.310751051,2.825171671,3.146741027
23376,Lowton,DEF,4.6,BUR,,2.73196433,3.314840027,3.021332622
242874,Kenny,DEF,4.4,EVE,,4.375468209,5.287886372,1.932561339
278659,Trippier,DEF,4.7,NEW,,1.148854635,2.213553049,2.719438714
192205,M Sorensen,DEF,4.5,BRE,,2.872027286,2.575961401,2.88848263
225290,Young,DEF,5,AVL,,4.164488008,5.824705415,1.371557584
187323,Ait-Nouri,DEF,4.8,WOL,,3.006679581,3.604357103,1.292308328
180456,Koch,DEF,4.3,LEE,,2.590957103,2.316929139,1.892705988
32948,Wan-Bissaka,DEF,5.3,MUN,,2.869797945,0,2.895689106
176643,Struijk,DEF,4.1,LEE,,1.700146023,1.540168179,1.253774226
67736,Johnson,DEF,4.3,WHU,,1.510876517,0.902646419,1.300784939
92423,Burn,DEF,4.7,NEW,,1.159647064,2.503289231,2.756729479
45053,Lindelof,DEF,4.8,MUN,,1.04954568,0,0.800251869
91161,Schar,DEF,4.8,NEW,,1.205917777,2.614001151,2.92700184
176637,Cooper,DEF,4.5,LEE,,3.087195829,2.836049712,2.260542811
192204,Roerslev,DEF,4.4,BRE,,1.280042463,1.044606586,0.907287886
230254,Duffy,DEF,4.6,BHA,,3.00733949,2.997163729,3.397026222
23120,Gomez,DEF,5,LIV,,0.557502001,0.578311591,0.671767776
91162,Jonny,DEF,4.7,WOL,,3.092725097,3.538413774,1.213533155
23015,Tomkins,DEF,4.5,CRY,,1.076446858,1.268889171,0.866517571
106466,Kilman,DEF,4.8,WOL,,2.866651783,3.505847409,1.205757242
23037,Kelly,DEF,4,CRY,,0.065719272,0.241430805,0.055095632
182753,Marcal,DEF,4.7,WOL,,3.017223215,3.488277389,1.21307265
46637,Walker-Peters,DEF,4.7,SOU,,2.645150734,1.503450348,2.307181222
23241,Bertrand,DEF,4.5,LEI,,3.679680115,2.498314868,2.117540185
23503,Cathcart,DEF,4.1,WAT,,4.075333328,2.245026873,1.161042582
88625,Vestergaard,DEF,4.9,LEI,,4.569792891,3.084213998,2.566014296
132423,Hause,DEF,4.5,AVL,,0.047248091,0.054185626,0.037677463
23252,Bardsley,DEF,4,BUR,,0.201745559,0.117641042,0.087909165
45072,Lascelles,DEF,4.3,NEW,,0.839419605,1.122269858,1.169607674
23289,K Long,DEF,4,BUR,,0.180700267,0.032968787,0
242875,Branthwaite,DEF,4,EVE,,0.024735267,0.026627711,0
230255,Jach,DEF,4.5,CRY,,0.948242723,1.188548673,0.759847724
88479,Masina,DEF,4.4,WAT,,4.435212403,2.42784905,1.31097358
189708,Rodon,DEF,4.5,TOT,,0.023009217,0,0
280703,Kenedy,DEF,5,CHE,,0.017676223,0,0
134588,Pieters,DEF,4.6,BUR,,2.776202828,3.565188691,3.062401145
23466,F Fernandez,DEF,4.4,NEW,,0.858463997,1.153288516,1.20350376
274845,P Jones,DEF,4.5,MUN,,0.055139836,0,0
23171,Bailly,DEF,5,MUN,,2.294546558,0,2.236706252
280711,Toti,DEF,4.5,WOL,,0.099301046,0.069469114,0.018071787
192723,Omobamidele,DEF,4,NOR,,0,0,0
225300,Troost-Ekong,DEF,4.2,WAT,,4.075333328,2.245026873,1.161042582
203020,Kabak,DEF,4.3,NOR,,3.32300182,2.090799196,1.404327835
131352,Godfrey,DEF,4.5,EVE,,4.375468209,5.287886372,1.932561339
274923,Patterson,DEF,4.5,EVE,,4.375468209,5.287886372,1.932561339
225299,Sierralta,DEF,4.5,WAT,,4.435212403,2.42784905,1.31097358
259132,Zanka,DEF,4.5,BRE,,2.956429148,2.629849192,2.98050346
178020,N Ferguson,DEF,4.5,CRY,,0.925341179,1.17593928,0.74035411
157546,Tanganga,DEF,4.6,TOT,,0.023009217,0,0
237976,Livramento,DEF,4.9,SOU,,2.645150734,1.503450348,2.307181222
88449,Diop,DEF,4.9,WHU,,1.62494888,1.003638033,1.409436665
23278,Ogbonna,DEF,5.1,WHU,,3.870261157,1.920073185,3.057560512
88464,Doherty,DEF,5.2,TOT,,4.452992551,4.196705279,4.068395415
23188,Shaw,DEF,5.4,MUN,,2.869797945,0,2.895689106
139989,Tierney,DEF,5.7,ARS,,5.906887111,3.495661704,4.164265095
24083,Chilwell,DEF,6.4,CHE,,7.71091447,4.301015501,4.89682278
274593,Bradley,DEF,4,LIV,,0,0,0
274594,Beck,DEF,4,LIV,,0,0,0
274592,Koumetio,DEF,4,LIV,,0,0,0
273787,Ashby,DEF,4,WHU,,0,0,0
260200,C Cresswell,DEF,4.5,LEE,,3.510930392,3.048274439,2.39961942
45114,Dummett,DEF,4.5,NEW,,0.875144424,1.179632776,1.232115588
280662,Hjelde,DEF,4.5,LEE,,3.520717317,3.056771683,2.4063085
225312,Mosquera,DEF,4.5,WOL,,0.093681012,0.063876093,0
273846,McCarron,DEF,4,LEE,,0.013360171,0,0
192749,J Sorensen,DEF,4.5,NOR,,3.736569346,2.346630388,1.571209487
45003,Bednarek,DEF,4.2,SOU,,2.455345347,1.358977423,2.126170833
262155,Nkoulou,DEF,4.5,WAT,,4.354833025,2.422085744,1.325062055
184652,Hoever,DEF,4.5,WOL,,0.072639332,0.104984917,0.059039052
23242,J Stephens,DEF,4.5,SOU,,2.409341293,1.415827072,2.105648098
45117,Ritchie,DEF,4.2,NEW,,0.46326025,0.554767561,0.536176663
226790,Perraud,DEF,4.9,SOU,,2.603079884,1.486112876,2.268673201
150363,B Williams,DEF,4.2,NOR,,2.821378987,1.807003477,1.162285126
25865,Manquillo,DEF,4,NEW,,0.281733676,0.272504953,0.229439774
192734,Zimmermann,DEF,4.4,NOR,,3.476136368,2.226266238,1.484348973
192718,Byram,DEF,4.5,NOR,,3.659309552,2.364895012,1.61219916
225479,Giannoulis,DEF,4.5,NOR,,3.632465213,2.349875843,1.597677497
24382,Masuaku,DEF,4.9,WHU,,1.738433973,1.102230768,1.516069939
225298,Ngakia,DEF,4.5,WAT,,4.294016967,2.443219355,1.367684193
88450,Fredericks,DEF,4.5,WHU,,1.62494888,1.003638033,1.409436665
242872,Valery,DEF,4,SOU,,0.818582454,0.556921756,0.738243388
139838,Krafth,DEF,4.7,NEW,,1.072992369,1.439298731,1.407164566
178201,Salisu,DEF,4.4,SOU,,2.424197809,1.399552319,2.111285005
256301,Lyanco,DEF,4.5,SOU,,2.37240555,1.451077996,2.087696885
45106,Salah,MID,13.6,LIV,,11.65318804,7.468106085,7.935785679
23472,Son,MID,10.5,TOT,,9.23320346,7.164408771,7.331217819
23126,Mane,MID,10.6,LIV,,10.28455739,6.44074019,6.76206243
278661,Coutinho,MID,6.5,AVL,,7.589591329,8.728633589,3.678669478
55898,Foden,MID,8.2,MCI,,9.120690275,5.277586875,5.679647454
23161,De Bruyne,MID,11.6,MCI,,9.439429187,5.539897204,5.976900215
45039,H Barnes,MID,7.2,LEI,,8.37857049,6.65843421,5.223576437
23023,Zaha,MID,7.2,CRY,,5.590927922,8.167468724,4.884488969
106430,Saka,MID,7,ARS,,8.777887964,4.931281798,5.556600678
88567,Jota,MID,7.9,LIV,,8.928646257,5.66326025,5.970643749
110910,Tielemans,MID,6.4,LEI,,7.331832826,5.933160473,4.223995121
182529,Havertz,MID,7.9,CHE,,7.533588912,5.619860756,6.157911007
187805,Raphinha,MID,7.5,LEE,,7.778890795,5.099385021,4.687885669
242870,A Gordon,MID,4.5,EVE,,6.471151682,6.795398579,3.277963601
23153,Sterling,MID,9.5,MCI,,9.050905287,5.626572843,6.069225592
139971,I Sarr,MID,6.2,WAT,,8.101893937,4.794471648,3.665295985
131333,McGinn,MID,5.6,AVL,,6.339266632,7.18943264,2.932573136
45081,B Silva,MID,7.3,MCI,,7.960344862,4.458328606,4.790458264
291491,Kulusevski,MID,6.9,TOT,,6.853652761,5.225489215,5.282902462
139802,Mount,MID,7.2,CHE,,6.683658791,4.902764462,5.327419795
184630,Gallagher,MID,6.2,CRY,,4.860879467,7.118506503,4.227572394
186002,J Ramsey,MID,4.7,AVL,,5.237654352,6.060830018,2.51308842
201990,Odegaard,MID,6.3,ARS,,7.635942455,4.376130499,4.843515293
88492,Maddison,MID,7,LEI,,7.07320441,6.369286015,5.017399642
23109,Mahrez,MID,8.7,MCI,,8.865831249,5.464984195,5.888012078
234800,D Gray,MID,5.6,EVE,,6.337933184,6.60840797,3.560434275
132974,Rodri,MID,5,MCI,,6.540914993,3.442816224,3.673368271
283021,Diaz,MID,5.7,LIV,,7.328926053,4.640213679,4.830742286
197966,Smith Rowe,MID,6.4,ARS,,7.574822677,4.510481868,4.981065359
137792,Douglas Luiz,MID,5,AVL,,5.585303476,6.396687622,2.742452642
140008,Martinelli,MID,5.5,ARS,,6.882293564,4.221300886,4.661518958
161049,Bowen,MID,6.9,WHU,,6.089282462,4.18992326,4.795426632
23337,Xhaka,MID,4.9,ARS,,6.373502594,3.428420999,3.755904853
88550,Fabinho,MID,5.4,LIV,,6.337487487,3.702343373,4.00618402
192214,Mbeumo,MID,6,BRE,,5.147856953,4.533802809,5.398967179
24092,Hojbjerg,MID,5.1,TOT,,5.994528736,4.014674723,4.002392305
132426,D James,MID,6,LEE,,6.404013162,4.228450841,3.868628923
23492,Doucoure,MID,5.9,EVE,,5.904443931,5.924528926,3.2558609
186746,Lookman,MID,6,LEI,,5.222028321,4.626506682,3.850438049
176658,Harrison,MID,6.1,LEE,,6.517404849,4.319666804,4.029707355
256300,Cornet,MID,5.7,BUR,,4.071535217,6.370802884,4.566133362
161009,Brownhill,MID,5.2,BUR,,3.629774809,5.898886155,3.793397545
225295,Rashica,MID,5.4,NOR,,6.416373218,3.695865267,3.645888442
283053,Eriksen,MID,5.8,BRE,,4.82526331,4.27115878,4.969268118
242878,Dewsbury-Hall,MID,4.5,LEI,,2.708214578,3.783161755,2.79890079
182530,Allan,MID,4.4,EVE,,4.332642269,4.220012095,2.142644325
23102,Kante,MID,5.1,CHE,,4.396335155,2.917058143,3.103080765
96761,McNeil,MID,5.7,BUR,,3.848808785,5.89446555,4.000882593
23464,Cork,MID,4.5,BUR,,3.102118714,5.134545191,3.223625603
192747,McLean,MID,5,NOR,,5.702387647,3.275342041,3.196167691
132424,Trossard,MID,6.6,BHA,,4.414066715,4.474844838,4.57990394
28842,Sissoko,MID,4.5,WAT,,5.269443395,3.063280703,2.53258771
192735,Buendia,MID,6.3,AVL,,5.927675474,6.68605716,3.144870194
291492,Bentancur,MID,5,TOT,,4.868263731,3.346899906,3.30176561
131338,Grealish,MID,7.4,MCI,,7.159288184,4.340527788,4.655254679
132434,Pulisic,MID,7.7,CHE,,6.630572512,4.902578956,5.324496915
176648,K Phillips,MID,5,LEE,,5.159140967,3.156021492,2.968192432
23121,J Henderson,MID,5.1,LIV,,4.206958273,2.789230464,2.965208507
160700,Soucek,MID,6,WHU,,4.859696539,3.619589538,4.057606051
230249,Olise,MID,5.4,CRY,,3.927803465,4.993642092,3.495916269
23160,Gundogan,MID,7.4,MCI,,7.27256544,4.480468267,4.804490365
176655,Klich,MID,5.3,LEE,,5.674027551,3.674880433,3.34274186
23404,Ward-Prowse,MID,6.9,SOU,,4.122208819,3.769082272,4.06590095
91130,Moutinho,MID,5.7,WOL,,5.302632707,3.83699128,2.805677703
184638,Thiago,MID,5.5,LIV,,6.062204299,3.796173014,4.074871988
23103,Schlupp,MID,5.6,CRY,,3.990106461,5.440945908,3.577467709
160701,Fernandes,MID,11.3,MUN,,4.809813973,0,4.929986383
23326,Iwobi,MID,5.5,EVE,,5.823821458,5.977337321,3.270315657
176631,Ziyech,MID,6.9,CHE,,5.369099399,3.521669995,3.826665267
242864,Kucka,MID,5.5,WAT,,5.462462162,3.532403786,2.898026679
233400,Lokonga,MID,5,ARS,,5.661008102,3.301392078,3.582637409
144450,Gilmour,MID,4.5,NOR,,4.207253296,2.486254652,2.426934106
23028,McArthur,MID,4.5,CRY,,2.586894397,3.765890263,2.353507579
139204,Saint-Maximin,MID,6.8,NEW,,3.232734492,4.025232482,4.122038141
88518,Keita,MID,5.1,LIV,,2.838500129,2.126956973,2.256617444
88639,Jorginho,MID,5.5,CHE,,4.854425922,3.133380231,3.437959028
192201,Norgaard,MID,4.5,BRE,,3.253243096,2.970480876,3.340785069
257179,Cucurella,MID,4.5,BHA,,3.219175332,3.197514082,3.338041627
139207,Neto,MID,5.9,WOL,,5.08435324,4.596630646,3.155689637
92413,Dendoncker,MID,5,WOL,,3.63590754,2.454045786,1.593404812
225310,Louza,MID,5.5,WAT,,5.222725508,3.326061981,2.754674156
132425,Fornals,MID,6.1,WHU,,4.798915086,3.572861305,3.996143899
32973,Rice,MID,5.1,WHU,,3.493873071,2.87618806,3.140335587
242910,Elyounoussi,MID,5.3,SOU,,3.826544639,3.454514982,3.78803592
163914,Mac Allister,MID,5.6,BHA,,3.765399897,3.773690203,3.896769001
23194,Rashford,MID,7.9,MUN,,4.244144399,0,4.331262527
189709,Benrahma,MID,5.8,WHU,,4.646401186,3.548755275,3.925835631
23394,Loftus-Cheek,MID,5.5,CHE,,4.874853947,3.320965886,3.259599662
