ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,37,38,xPts if play,37,38,Probability to play,37,38,xPts,37,38,npG,37,38
452,Ruddy,GK,4.3,WOL,0.135095252,4.029832095,3.750163232,,1.842105263,1.842105263,,3.223499705,1.910119889,,0.026315789,0.026315789,,0.08482894,0.050266313,,9.9428E-05,3.74075E-05
673,Lossl,GK,4.5,BRE,0.131719928,4.02645677,3.744446693,,1.842105263,1.842105263,,2.459764899,2.545592351,,0.026315789,0.026315789,,0.064730655,0.066989272,,2.7049E-05,3.84691E-05
280,D Henderson,GK,4.7,MUN,0.088204041,4.025046146,3.741539685,,0,2.210526316,,0.00128,2.79312795,,0,0.031578947,,0,0.088204041,,0,0.000658055
561,Matthews,GK,3.9,CRY,0.021746669,4.008322184,3.728034935,,0.368421053,0.184210526,,3.536613578,2.779677077,,0.004080663,0.002631579,,0.014431729,0.00731494,,0.000125848,8.4695E-05
571,Lonergan,GK,3.9,EVE,0.020843019,4.007418535,3.727356981,,0.368421053,0.184210526,,3.710228538,2.167073803,,0.004080663,0.002631579,,0.015140193,0.005702826,,0.000139729,4.59522E-05
606,Bettinelli,GK,4,CHE,0.017573659,4.007047343,3.726486491,,0.184210526,0.184210526,,3.155678026,3.52231228,,0.002631579,0.002631579,,0.008304416,0.009269243,,8.115E-05,8.86809E-05
114,Norris,GK,4.3,BUR,0.020347959,4.006923475,3.726540837,,0.368421053,0.184210526,,3.026879593,3.038587562,,0.004080663,0.002631579,,0.012351676,0.007996283,,0.000106115,8.17034E-05
593,Carson,GK,3.9,MCI,0.016953238,4.006426923,3.725923398,,0.184210526,0.184210526,,3.075522228,3.366708332,,0.002631579,0.002631579,,0.00809348,0.008859759,,5.49257E-05,6.2909E-05
0,Karius,GK,4.5,LIV,0.015800857,4.006327173,3.725804315,,0.165789474,0.165789474,,3.094599522,3.576873427,,0.002368421,0.002368421,,0.007329315,0.008471542,,6.83815E-05,7.39004E-05
596,Sinisalo,GK,4,AVL,0.019077148,4.005652663,3.725720721,,0.315789474,0.157894737,,3.504361084,1.815271473,,0.004080663,0.002631579,,0.014300118,0.00477703,,0.000132961,2.8878E-05
573,Jakupovic,GK,3.9,LEI,0.017990658,4.004566173,3.724390812,,0.368421053,0.184210526,,2.812022604,2.475981418,,0.004080663,0.002631579,,0.011474917,0.006515741,,0.000100197,7.43061E-05
688,McGill,GK,4,BHA,0.014614424,4.004088108,3.723748792,,0.184210526,0.184210526,,2.632479304,2.921001727,,0.002631579,0.002631579,,0.006927577,0.007686847,,4.92074E-05,5.33771E-05
556,A Fernandez L,GK,4.5,BRE,0.014552889,4.004026573,3.723732444,,0.184210526,0.184210526,,2.731746571,2.798351162,,0.002631579,0.002631579,,0.007188807,0.007364082,,2.41485E-05,3.43439E-05
572,Okonkwo,GK,3.9,ARS,0.007980938,4.00271778,3.722509436,,0.092105263,0.092105263,,2.934502134,3.131010801,,0.001315789,0.001315789,,0.003861187,0.004119751,,6.90527E-05,7.73659E-05
407,Randolph,GK,4.3,WHU,0.011619341,4.002145657,3.721909294,,0.165789474,0.165789474,,2.193102073,2.712841955,,0.002368421,0.002368421,,0.005194189,0.006425152,,3.5102E-05,4.44351E-05
509,Heaton,GK,3.9,MUN,0.006978449,4.001715291,3.72147515,,0,0.184210526,,0.001524,2.651810565,,0,0.002631579,,0,0.006978449,,0,0.000164673
