ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38,npG,38
616,Tyrer,GK,4,EVE,0.000443032,1.999916716,1.999916716,,0.015789474,,1.683521792,,0.000263158,,0.000443032,,3.93352E-05
642,Angelini,GK,4,WAT,0.000322171,1.999795856,1.999795856,,0.015789474,,1.224250923,,0.000263158,,0.000322171,,3.14E-05
691,Olsen,GK,4,AVL,0.052418108,1.999786529,1.999786529,,1.842105263,,1.991888089,,0.026315789,,0.052418108,,1.97E-05
0,Sarkic,GK,4,WOL,0.004770216,1.999507058,1.999507058,,0.065789474,,1.812681899,,0.002631579,,0.004770216,,3.86E-06
571,Lonergan,GK,3.9,EVE,0.004641232,1.999378074,1.999378074,,0.184210526,,1.763668083,,0.002631579,,0.004641232,,3.99E-05
659,Austin,GK,4,TOT,0.00444854,1.999185382,1.999185382,,0.065789474,,1.690445075,,0.002631579,,0.00444854,,3.60E-05
596,Sinisalo,GK,4,AVL,0.004175021,1.998911863,1.998911863,,0.157894737,,1.586508128,,0.002631579,,0.004175021,,2.78E-05
708,Waller,GK,4,BUR,0.004131499,1.998868341,1.998868341,,0.065789474,,1.569969679,,0.002631579,,0.004131499,,1.87E-05
313,McGovern,GK,3.9,NOR,0.003978556,1.998715398,1.998715398,,0.184210526,,1.51185131,,0.002631579,,0.003978556,,3.74E-05
481,Begovic,GK,4,EVE,0.045987449,1.998619028,1.998619028,,1.657894737,,1.941692286,,0.023684211,,0.045987449,,7.37E-05
574,Elliot,GK,4,WAT,0.003665035,1.998401877,1.998401877,,0.184210526,,1.392713187,,0.002631579,,0.003665035,,2.56E-05
666,McCracken,GK,4,NOR,0.003600655,1.998337497,1.998337497,,0.157894737,,1.368249041,,0.002631579,,0.003600655,,5.04E-05
637,H Lewis,GK,3.9,SOU,0.003260703,1.997997545,1.997997545,,0.065789474,,1.239067286,,0.002631579,,0.003260703,,2.52E-05
621,Storer,GK,4,WOL,0.002969503,1.997706345,1.997706345,,0.065789474,,1.128411055,,0.002631579,,0.002969503,,1.38E-05
448,Gunn,GK,4,NOR,0.098237825,1.992974667,1.992974667,,4.263157895,,1.866518679,,0.052631579,,0.098237825,,3.49E-05
641,Caballero,GK,4.2,SOU,0.04537917,1.992747591,1.992747591,,1.842105263,,1.72440845,,0.026315789,,0.04537917,,4.36E-05
452,Ruddy,GK,4.3,WOL,0.045266526,1.992634947,1.992634947,,1.842105263,,1.72012798,,0.026315789,,0.045266526,,3.45E-05
376,Foster,GK,4.1,WAT,1.847599832,1.95286299,1.95286299,,83.64285714,,1.950244268,,0.947368421,,1.847599832,,1.19E-04
237,Trent,DEF,8.4,LIV,6.606712571,6.65934415,6.65934415,,84.54761905,,6.78527237,,0.973684211,,6.606712571,,0.081794932
256,Cancelo,DEF,7.2,MCI,5.563337301,5.61596888,5.61596888,,84.54761905,,5.713697769,,0.973684211,,5.563337301,,0.106554933
234,Robertson,DEF,7.3,LIV,5.545451047,5.598082626,5.598082626,,83.66666667,,5.695328102,,0.973684211,,5.545451047,,0.054125968
142,R James,DEF,6.4,CHE,4.953084731,5.110979468,5.110979468,,66,,5.377634851,,0.921052632,,4.953084731,,0.104037871
127,Rudiger,DEF,6.1,CHE,4.769839299,4.838260352,4.838260352,,83.89047619,,4.938798184,,0.965789474,,4.769839299,,0.103697962
259,Laporte,DEF,6,MCI,4.782005349,4.834636928,4.834636928,,84.54761905,,4.911248736,,0.973684211,,4.782005349,,0.126508078
122,Alonso,DEF,5.7,CHE,4.283595153,4.704647785,4.704647785,,59.21428571,,5.425887194,,0.789473684,,4.283595153,,0.161475428
119,Azpilicueta,DEF,5.6,CHE,4.568234646,4.673497804,4.673497804,,77.21428571,,4.82202546,,0.947368421,,4.568234646,,0.060812756
229,van Dijk,DEF,6.8,LIV,4.310732577,4.573890472,4.573890472,,75.78571429,,4.963873877,,0.868421053,,4.310732577,,0.073785812
