ID,Name,Pos,Price,Team,Pts,38
240547,Bailey,MID,6.4,AVL,,3.111236798
24380,Pogba,MID,6.6,MUN,,3.559271121
115171,M Greenwood,MID,7.2,MUN,,3.559271121
271700,McAtee,MID,4,MCI,,0
226789,Soumare,MID,5,LEI,,3.433893999
274589,Simons,MID,4,CHE,,0
200376,Anderson,MID,4.5,NEW,,0
192199,Fosu,MID,5.5,BRE,,3.603532299
271701,Onyango,MID,4,EVE,,0
271609,Morton,MID,4.5,LIV,,0
246493,Rak-Sakyi,MID,4.5,CRY,,0
271705,McKinstry,MID,4,LEE,,0
68289,Choudhury,MID,4.5,LEI,,0.036705895
45097,Riedewald,MID,5,CRY,,1.695706104
257177,Vlasic,MID,5.9,WHU,,3.84390315
147612,Alzate,MID,5,BHA,,3.232504737
157062,Minamino,MID,5.4,LIV,,4.059915477
35690,Milivojevic,MID,5.5,CRY,,2.153000038
23324,Walcott,MID,5.9,SOU,,3.675122824
23192,Lingard,MID,6.4,MUN,,3.559271121
257279,Kral,MID,5,WHU,,1.162916932
274588,Patino,MID,4,ARS,,0.064438586
132429,Djenepo,MID,5.9,SOU,,3.673427043
24079,Gudmundsson,MID,5.4,BUR,,3.808863635
23325,Chamberlain,MID,5.6,LIV,,4.19283695
23276,Noble,MID,4.5,WHU,,1.173208233
162785,Smallbone,MID,4.5,SOU,,1.084487281
23162,Delph,MID,4.5,EVE,,1.813737122
131369,El Ghazi,MID,5.8,EVE,,3.484359754
233401,Onyeka,MID,5,BRE,,3.273095743
187324,I Diallo,MID,4.3,SOU,,1.046571629
280714,Cundle,MID,4.5,WOL,,0.121754699
23127,Lallana,MID,5.5,BHA,,3.281608108
280768,Bate,MID,4.5,LEE,,0.545630798
192215,S Baptiste,MID,4.5,BRE,,0.170543506
226791,Trincao,MID,5.8,WOL,,2.950097411
92420,Gomes,MID,5,EVE,,2.942941978
184648,B Traore,MID,5.9,AVL,,2.920954666
25871,Winks,MID,4.5,TOT,,0.545907193
176654,Shackleton,MID,4.5,LEE,,0.841189443
88575,Yarmolenko,MID,5.6,WHU,,3.576353288
202398,Sanson,MID,5,AVL,,2.584685024
221680,Chukwuemeka,MID,4.5,AVL,,0.241453016
192202,Dasilva,MID,5.5,BRE,,3.704312837
45021,D Stephens,MID,4.5,BUR,,0.374721887
34400,T Davies,MID,5,EVE,,2.989584747
192753,Placheta,MID,4.5,NOR,,0.718800532
138600,Nakamba,MID,4.5,AVL,,0.617435399
242984,Tzolis,MID,5,NOR,,2.449276768
293578,Chiquinho,MID,5,WOL,,0.84914976
23474,Kane,FWD,11.8,TOT,,5.91726937
76982,Nketiah,FWD,6,ARS,,4.970989242
192217,Toney,FWD,6.5,BRE,,4.706953751
254679,Ronaldo,FWD,11.4,MUN,,4.462744953
23097,Vardy,FWD,9.5,LEI,,4.824300449
32986,Jesus,FWD,8.7,MCI,,3.717783308
23331,Welbeck,FWD,6,BHA,,4.286190064
192758,Pukki,FWD,6.2,NOR,,4.000069275
240869,Lukaku,FWD,9.8,CHE,,3.322588633
23360,Wilson,FWD,7.6,NEW,,4.285885516
23550,Antonio,FWD,7.3,WHU,,3.33736197
201968,Mateta,FWD,5.4,CRY,,3.143571324
137599,Joelinton,FWD,5.7,NEW,,3.334379376
23170,Iheanacho,FWD,7.2,LEI,,2.813127461
179153,Rodrigo,FWD,6.2,LEE,,3.541052783
183114,Watkins,FWD,7.1,AVL,,3.118522892
132437,Adams,FWD,6.9,SOU,,3.623999186
164449,Joao Pedro,FWD,5.4,WAT,,3.236266973
23364,King,FWD,5.3,WAT,,2.907695094
45474,Richarlison,FWD,6.9,EVE,,2.591782154
23290,A Barnes,FWD,5.1,BUR,,2.452612157
40266,Calvert-Lewin,FWD,7.5,EVE,,3.356358668
35701,Ayew,FWD,5.7,CRY,,3.614296736
88528,Jimenez,FWD,7,WOL,,3.12407317
242869,Broja,FWD,4.8,SOU,,2.430990837
283052,Weghorst,FWD,5.6,BUR,,3.601244572
176665,Bamford,FWD,7.5,LEE,,3.8867079
139797,Maupay,FWD,5.7,BHA,,1.635374068
176630,Werner,FWD,8.2,CHE,,1.086617011
225294,Daka,FWD,6.8,LEI,,1.194686092
23134,Ings,FWD,7.5,AVL,,3.280269407
257274,Edouard,FWD,6,CRY,,3.807354289
23119,Firmino,FWD,7.3,LIV,,1.626632572
134602,Jay Rodriguez,FWD,5.3,BUR,,2.912571979
57345,Wood,FWD,5.8,NEW,,3.504048648
259613,Gelhardt,FWD,4,LEE,,1.760152535
242879,A Armstrong,FWD,6.1,SOU,,2.846514767
187803,Cavani,FWD,7.6,MUN,,1.021308387
45079,Lacazette,FWD,7.5,ARS,,5.015534138
257178,Hwang,FWD,5.9,WOL,,1.959767842
102349,Origi,FWD,5,LIV,,0.312467078
23118,Benteke,FWD,5.8,CRY,,3.73828932
242871,S Long,FWD,5,SOU,,2.639004461
225321,Dennis,FWD,5.2,WAT,,0.535862287
192765,Idah,FWD,5.2,NOR,,0
92351,Vydra,FWD,5.5,BUR,,2.912571979
242865,Sargent,FWD,5.5,NOR,,0
257278,Rondon,FWD,5.5,EVE,,0.167202568
203938,Scarlett,FWD,4.5,TOT,,0
242907,Edozie,FWD,4.5,MCI,,0
274591,Soonsup-Bell,FWD,4,CHE,,0
265469,Tosun,FWD,5.5,EVE,,0.167153678
259614,Munoz,FWD,4,NEW,,0
131312,Gayle,FWD,6,NEW,,3.547767638
230257,Cucho,FWD,5,WAT,,0.535862287
260243,Dobbin,FWD,4,EVE,,0.167202568
249318,S Greenwood,FWD,5,LEE,,2.028804682
182752,F Silva,FWD,5.7,WOL,,0.586103204
