fbref ID,FPL code,FPL ID,FT ID
e6bc67d7,181284,554,2050334
169fd162,184754,557,257178
b561db50,102057,558,88528
8b57ad2c,448089,559,2930170
e28868f3,114128,560,91162
15f24fe7,429414,562,2253849
d0f72bf1,214048,563,106466
2b471f99,151086,565,2859301
e6af02e0,465351,566,2139824
7ba2eaa9,247632,567,139207
7fcc71d8,200600,568,160975
903b6e8b,149065,569,231959
9744ff80,88484,570,2871382
d04b94db,200402,572,185167
f0caab96,510362,573,280711
999ceb5f,476502,574,2405112
37118440,108796,575,3584387
7399c7a8,83427,576,3584342
74b2cd7e,40669,577,23278
a9b1c319,104047,582,3584382
886f9aac,235674,583,1897014
532e1e4f,244954,584,3627877
41034650,445122,585,3627958
2696b6a9,222677,586,3627954
9ade9ce1,504198,587,3627936
be927d03,18892,588,3627935
dc62b55d,430871,590,3627793
8b9ebd03,47431,591,2268237
0ed063d6,432990,592,3628089
77816c91,523957,593,3628156
2ee5b0c9,492831,594,3628161
0ad53bdc,544877,595,3628155
259fea27,432720,596,3628567
e9c0c1b2,202641,597,3628569
d557d734,87835,598,3628568
aeed5c06,243557,599,3628765
ab651565,83283,600,3628724
f08490a6,220307,601,3628798
c066d1a5,476369,602,3628729
3ea50f67,201666,603,45039
246d153b,159506,604,3628750
fc076f78,487702,605,3638774
a4e85758,223434,606,3629364
4e204552,179458,608,3629565
cab9634e,441302,609,3629422
a36524bf,232892,610,3629982
ad82197c,220362,611,3634178
1df4a109,503714,613,3631216
1caa93a5,54738,614,3634177
5ad50391,477424,616,3634364
491a433d,497894,617,3634387
3a24769f,88894,630,3638248
afed6722,441191,633,237976
6a8a7af8,424001,638,3638252
8fe2a392,491279,639,3638005
3f7bafbe,536908,641,3638039
8b3ab7ad,213999,642,3638504
774cf58b,232980,643,192745
104d0bb8,503139,644,3638526
45685411,450542,657,
35516eac,550839,660,3638871
aa849a12,221399,661,176658
9a28eba4,159533,662,3639047
eebacc07,196100,663,3638865
3515d404,101178,664,23404
f23f9d20,20480,665,3642812
9228b07c,173807,666,3642359
ecad9aa5,514356,667,1783661
c149016b,158983,668,3643150
9907b1c8,245414,672,3643324
2b09d998,200785,673,1783669
e1618c22,447715,675,3646973
00963611,233963,676,3646579
2f8d27bc,232423,,178020
197640fd,166477,,182119
75fdd638,492859,,2268242
374d5158,,,3647566
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
