Name,FFS 17,FFS 18,FFS 19,FFS 20,FFS 21,FFS 22,FFS 23,fbref,fbref ID,FPL code,FPL ID,FPL name,FPL pos,Team,FPL price,FT ID,FanTeam name,FT pos,FT price,DOB
Taylor,Taylor (Charlie),Taylor (Charlie),Taylor (Charlie),Taylor (Charlie),Taylor (Charlie),,Taylor,Charlie Taylor,cc2d7ad5,103914,178,Taylor,DEF,Burnley,4,3584334,Taylor,DEF,4,34230
Benson,,,,,,,Manuel,Benson Manuel,d7f99582,183751,159,Benson,MID,Burnley,5.4,3584367,Hedilazio,MID,6,35517
Lokonga,,,,,Sambi Lokonga,Sambi Lokonga,Sambi Lokonga,Albert Sambi Lokonga,1b4f1169,437742,21,Sambi,MID,Arsenal,4.9,233400,Lokonga,MID,4.5,36455
Brownhill,,,Brownhill,Brownhill,Brownhill,,Brownhill,Josh Brownhill,47369df8,172782,161,Brownhill,MID,Burnley,4.9,3584359,Brownhill,MID,5.5,35052
Cork,Cork,Cork,Cork,Cork,Cork,,Cork,Jack Cork,74e12f1e,40145,163,Cork,MID,Burnley,4.9,3584368,Cork,MID,4.5,32684
Cullen,,,,,,,Cullen,Josh Cullen,f6d7d690,172567,165,Cullen,MID,Burnley,5,3584337,Cullen,MID,5,35162
Gudmundsson,Gudmundsson,Gudmundsson,Gudmundsson,Gudmundsson,Gudmundsson,,Gudmundsson,JÛhann Berg Gumundsson,f72293fc,60586,170,Gudmundsson,MID,Burnley,4.9,3584358,Gudmundsson,MID,5,33173
Zaroury,,,,,,,Zaroury,Anass Zaroury,07d65234,511783,184,Zaroury,MID,Burnley,4.9,3584345,Zaroury,MID,4.9,36837
Berge,,,Berge,Berge,,,Berge,Sander Berge,d0b6129f,207189,475,Berge,MID,Burnley,5,3584353,Berge,MID,5,35840
Redmond,Redmond,Redmond,Redmond,Redmond,Redmond,Redmond,Redmond,Nathan Redmond,ab651565,83283,600,Redmond,MID,Burnley,4.9,3628724,Redmond,MID,4.5,34399
Bruun Larsen,,,,,,,Bruun Larsen,Jacob Bruun Larsen,4e204552,179458,608,Bruun Larsen,MID,Burnley,5,3629565,Bruun Larsen,MID,4.5,36057
A Ramsey,,,,,,Ramsey (Aaron),Aaron Ramsey,Aaron Ramsey,e1618c22,447715,675,A.Ramsey,MID,Burnley,5,3646973,Ramsey,MID,4.5,37642
