fbref ID,FPL ID,FT ID
305a3820,,
bbf5c11b,,
07666c20,,
552aa16c,,
0a3e7440,,
32e7ce92,,
9dc96f10,636,
9a104dee,622,265469
aa6f2f2c,,
15d561fa,,
78e87179,,176635
dcba03f6,,
466fb2c5,559,140080
79300479,558,201990
17d45fb2,557,252331
f127d782,556,251271
a731e8a0,560,
27f4f772,561,
e0d1510a,562,264308
4654e5f5,563,260200
2e590065,565,
5526deb1,566,
6f487e5d,667,
beb391dd,578,256300
b5bf1770,567,256301
165cf989,571,
05e8ca6d,568,260240
7e003182,569,
75834acc,572,
1148323a,573,23079
b1b25949,574,
2ff964a0,575,255775
076bb352,576,273846
dea698d9,579,254679
169fd162,583,257178
7c104bb7,587,186746
0562b7f1,586,257274
df8b52a5,588,257275
aa8e289e,582,257177
b3af9be1,590,257276
8996350d,581,257281
1daec722,584,257179
2d61d13a,580,203020
24fae784,585,257280
e717705a,589,257279
b318a643,591,257278
c14bc029,592,257277
0d85a4e8,606,237977
dd986929,,259614
a48635b8,596,
3e1550ee,593,139990
0db5d2c8,594,259132
4f242e0e,597,
296904e8,598,
d60c03a9,599,
bc91e227,600,
1000a059,601,271705
26d3b5be,602,273794
387e1d35,603,
c19a2df1,604,
ecad9aa5,605,
bd8afa3d,654,
9bbef03e,653,
bbd67769,626,274593
19a9cb70,625,
bebe4df1,,
d313e8ff,651,
e814e1cf,607,260243
d102b8a2,608,280662
de31038e,609,200376
bca5c4a7,610,
7b7de75a,611,
ac0d576d,612,272775
08288a57,613,
8a3ddcd2,614,
02aed921,615,
af49fb14,616,
b391383a,617,273787
93cf32a8,618,262155
fea06849,619,
2bc28bb9,620,271609
257b20e1,621,
a182122b,623,
cd4256d3,624,280768
a011a1e9,627,274594
2294d430,628,
96593e89,629,271700
d86a1f3e,630,271701
3d46127c,631,
59e3e314,633,
a440ed21,634,
bfc3b3a0,635,
c35e99d8,637,273452
84c5ceea,638,
192d4c3d,639,
f9682888,640,
a179d516,641,23157
536e58cc,642,
4ba27cea,643,
182a8b9d,644,
7be10897,645,
a2081c6b,646,
b2c66859,647,273728
8c12f884,648,
f119a610,649,
a79abd8b,650,
ab77d10d,652,
4596da74,655,
b3cafda8,656,
b660a486,657,
f58515f5,658,
5e253986,659,
4125cb98,660,
41ff002d,661,
ea1a5662,662,
17734ea0,663,
e71aac2c,664,274588
6df49f02,665,
ab5c36dd,,
c7170b46,,202382
2f0cfc9b,,274589
a70182a5,672,274590
e9619634,,274591
866c67e9,,274592
47188db7,666,
4d90ce8c,668,
1d5c9842,669,
185321d3,670,
da011f18,671,
939bc634,673,274828
230f0471,674,274923
30d4a2e5,675,274827
286f5a8e,,
92b4758e,677,278660
21512407,678,278659
0ef89a37,681,278661
19a12bed,676,276427
f99b71de,679,278691
06791660,680,
830371be,682,
e4b6d914,683,
f0caab96,685,280711
486b08b3,684,
b3fa76c5,686,
73b1d65b,687,
4eb2d015,688,
dc6c2f02,689,293578
5eebbfdf,690,280703
e7ee38c3,691,
bd9553e6,692,
b85c3273,693,
a1d95db3,694,
ce048fb8,695,
980522ec,699,283053
4a1a9578,696,283021
82518f62,697,283020
3b8674e6,702,291492
df3cda47,701,291491
c4e87b8b,700,283052
b8d22478,698,282728
ca22ccb0,,
44af2ec3,,
a89e7b29,,
2696b6a9,,
3f2587ee,,
