Name,FFS17,vaastav17,FFS18,vaastav18,FFS19,vaastav19,FFS20,vaastav20
Boly,,,Boly,Willy_Boly_423,Boly,Willy_Boly_405,Boly,
Bonatini,,,LÈo Bonatini,Bonatini Lohner Maia_Bonatini_438,,,LÈo Bonatini,
Bong,Bong,GaÎtan_Bong,Bong,GaÎtan_Bong_51,Bong,Ga√´tan_Bong_41,Bong,
Bony,Bony,Wilfried_Bony,,,,,Bony,
Borini,,,,,,,Borini,
Boruc,,Artur_Boruc,Boruc,Artur_Boruc_25,,Artur_Boruc_73,Boruc,
Boufal,Boufal,Sofiane_Boufal,,Sofiane_Boufal_341,Boufal,Sofiane_Boufal_508,Boufal,
Bowen,,,,,Bowen,Jarrod_Bowen_626,Bowen,
Boyd,,,,,,,Boyd,
Brady,Brady,Robbie_Brady,Brady,Robbie_Brady_79,Brady,Robbie_Brady_98,Brady,
Branthwaite,,,,,Branthwaite,Jarrad_Branthwaite_637,Branthwaite,
Bravo,Bravo,Claudio_Bravo,,Claudio_Bravo_261,Bravo,Claudio_Bravo_213,Bravo,
Bree,,,,,,,Bree,
Brewster,,,,,,Rhian_Brewster_464,Brewster,
Britos,Britos,Miguel_Britos,Britos,Miguel_Britos_379,,,Britos,
Britton,Britton,Leon_Britton,,,,,Britton,
Broja,,,,,Broja,Armando_Broja_631,Broja,
Brooks,,,Brooks,David_Brooks_42,Brooks,David_Brooks_76,Brooks,
Brown,Brown (Isaiah),Isaiah_Brown,,,,,Brown (Isaiah),
Brownhill,,,,,Brownhill,Josh_Brownhill_620,Brownhill,
Bruno,Bruno,Bruno_Saltor Grau,Bruno,Bruno_Saltor Grau_50,,,Bruno,
Brunt,Brunt,Chris_Brunt,,,,,Brunt,
Bryan,,,Bryan,Joe_Bryan_510,,,Bryan (Joe),
Buendia,,,,,BuendÌa,Emiliano_Buend√≠a_283,BuendÌa,
Burke,Oliver Burke,Oliver_Burke,,,,,Oliver Burke,
Burn,,,,Dan_Burn_582,Burn,Dan_Burn_475,Burn,
Butland,Butland,Jack_Butland,,,,,Butland,
Button,,,Button,David_Button_179,,David_Button_48,Button,
Buur,,,,,,Oskar_Buur_587,Buur,
Byram,Byram,Sam_Byram,,Sam_Byram_404,Byram,Sam_Byram_454,Byram,
Caballero,Caballero,Willy_Caballero,Caballero,Willy_Caballero_112,Caballero,Willy_Caballero_112,Caballero,
Cabaye,Cabaye,Yohan_Cabaye,,,,,Cabaye,
Caceres,,,,,,,Caceres,
Cahill,Cahill,Gary_Cahill,Cahill,Gary_Cahill_114,Cahill,Gary_Cahill_503,Cahill,
Cairney,,,Cairney,Tom_Cairney_182,,,Cairney,
Calleri,,,,,,,Calleri,
Calvert-Lewin,Calvert-Lewin,Dominic_Calvert-Lewin,Calvert-Lewin,Dominic_Calvert-Lewin_175,Calvert-Lewin,Dominic_Calvert-Lewin_147,Calvert-Lewin,
Camacho,,Rafael_Camacho,Camacho,Rafael_Camacho_557,,Rafael_Camacho_201,Camacho,
Camarasa,,,Camarasa,VÌctor_Camarasa_504,Camarasa,V√≠ctor_Camarasa_510,Camarasa,
Cameron,Cameron,Geoff_Cameron,,,,,Cameron,
Campana,,,,,,Leonardo_Campana_652,Campana,
F Campbell,,,,,,,F Campbell,
T Campbell,Campbell (Tyrese),Tyrese_Campbell,,,,,Campbell (Tyrese),
Can,Can,Emre_Can,,,,,Can,
Cancelo,,,,,Jo„o Cancelo,Jo√£o Pedro Cavaco_Cancelo_518,Jo„o Cancelo,
Cantwell,,,,,Cantwell,Todd_Cantwell_287,Cantwell,
Capoue,Capoue,Etienne_Capoue,Capoue,Etienne_Capoue_389,Capoue,Etienne_Capoue_373,Capoue,
Cargill,,,,,,,Cargill,
Carrick,Carrick,Michael_Carrick,,,,,Carrick,
A Carrillo,Carrillo (AndrÈ),AndrÈ_Carrillo,,,,,Carrillo (AndrÈ),
G Carrillo,Carrillo (Guido),Guido_Carrillo,,Guido_Carrillo_350,,,Carrillo (Guido),
A Carroll,Carroll (Andy),Andy_Carroll,Carroll,Andy_Carroll_418,Carroll,Andy_Carroll_520,Carroll,
T Carroll,Carroll (Thomas),Tom_Carroll,,,,,Carroll (Thomas),
Casey,,,,,,,Casey,
Cash,,,,,,,Cash,
Casilla,,,,,,,Casilla,
Castagne,,,,,,,Castagne,
Castro,,,,,,,Castro,
Cathcart,Cathcart,Craig_Cathcart,Cathcart,Craig_Cathcart_376,Cathcart,Craig_Cathcart_358,Cathcart,
Cattermole,,,,,,,Cattermole,
Cavaleiro,,,Cavaleiro,Ivan_Cavaleiro_434,,Ivan_Cavaleiro_419,Cavaleiro,
Cavani,,,,,,,Cavani,
Cazorla,,Santiago_Cazorla,,,,,Cazorla,
Ceballos,,,,,Dani Ceballos,Daniel_Ceballos Fern√°ndez_469,Dani Ceballos,
Cech,Cech,Petr_Cech,Cech,Petr_Cech_1,,,Cech,
Cedric,Cedric,CÈdric_Soares,Cedric,CÈdric_Soares_332,Cedric,C√©dric_Soares_486,Cedric,
Lo Celso,,,,,Lo Celso,Giovani_Lo Celso_523,Lo Celso,
Chadli,Chadli,Nacer_Chadli,,,,,Chadli,
Chalobah,Chalobah (Nathaniel),Nathaniel_Chalobah,Chalobah (Nathaniel),Nathaniel_Chalobah_387,Chalobah (Nathaniel),Nathaniel_Chalobah_374,Chalobah (Nathaniel),
Chambers,Chambers,Calum_Chambers,Chambers,Calum_Chambers_9,Chambers,Calum_Chambers_467,Chambers,
Chicharito,Hern·ndez,Javier_Hern·ndez Balc·zar,Hern·ndez,Javier_Hern·ndez Balc·zar_419,Hern·ndez (Javier),Javier_Hern√°ndez Balc√°zar_386,Hern·ndez (Javier),
Chilwell,Chilwell,Benjamin_Chilwell,Chilwell,Benjamin_Chilwell_219,Chilwell,Benjamin_Chilwell_161,Chilwell,
Chong,,,Chong,Tahith_Chong_603,Chong,Tahith_Chong_249,Chong,
Choudhury,Choudhury,Hamza_Choudhury,Choudhury,Hamza_Choudhury_230,Choudhury,Hamza_Choudhury_180,Choudhury,
Choupo-Moting,Choupo-Moting,Eric Maxim_Choupo-Moting,,,,,Choupo-Moting,
Christensen,Christensen,Andreas_Christensen,Christensen,Andreas_Christensen_119,Christensen,Andreas_Christensen_108,Christensen,
Christie,,,Christie,Cyrus_Christie_460,,,Christie,
Cisse,,,CissÈ,Ibrahima_CissÈ_521,,,CissÈ,
Clark,Clark,Ciaran_Clark,Clark,Ciaran_Clark_311,Clark (Ciaran),Ciaran_Clark_259,Clark,
Clarke,,,,,Clarke (Leon),Leon_Clarke_547,Clarke (Leon),
Clasie,,Jordy_Clasie,,,,,Clasie,
Clayton,,,,,,,Clayton,
Cleverley,Cleverley,Tom_Cleverley,Cleverley,Tom_Cleverley_388,Cleverley,Tom_Cleverley_371,Cleverley,
Clichy,,,,,,,Clichy,
Clucas,Clucas,Sam_Clucas,,,,,Clucas,
Clyne,Clyne,Nathaniel_Clyne,Clyne,Nathaniel_Clyne_241,,,Clyne,
Coady,,,Coady,Conor_Coady_430,Coady,Conor_Coady_403,Coady,
J Coleman,,Joel_Coleman,Coleman (Joel),Joel_Coleman_598,,,Coleman (Joel),
S Coleman,Coleman (Seamus),Seamus_Coleman,Coleman (Seamus),Seamus_Coleman_157,Coleman,Seamus_Coleman_144,Coleman,
Collins,Collins (James),James_Collins,,,,,Collins (James),
Connolly,,,,Matthew_Connolly_93,Connolly,Aaron_Connolly_534,Connolly,
L Cook,L Cook,Lewis_Cook,L Cook,Lewis_Cook_39,L Cook,Lewis_Cook_79,L Cook,
S Cook,S Cook,Steve_Cook,S Cook,Steve_Cook_27,S Cook,Steve_Cook_58,S Cook,
Cooper,,,,,,,Cooper,
