ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38
45068,Taylor,DEF,4.5,BUR,3.045027696,3.071343485,3.071343485,,85.64285714,,3.085628065,,0.986842105,,3.045027696
23148,Zinchenko,DEF,5.5,MCI,1.982871592,3.035503171,3.035503171,,37.78571429,,4.186062249,,0.473684211,,1.982871592
23346,Ake,DEF,5,MCI,1.717213373,2.980371268,2.980371268,,32.42105263,,4.661007727,,0.368421053,,1.717213373
257276,Tomiyasu,DEF,4.8,ARS,2.017497694,2.912234537,2.912234537,,43.5,,3.650710114,,0.552631579,,2.017497694
177020,Veltman,DEF,4.3,BHA,2.843235155,2.911656207,2.911656207,,80.3952381,,2.943949207,,0.965789474,,2.843235155
23521,Evans,DEF,4.9,LEI,2.630532524,2.84105884,2.84105884,,74.73809524,,2.940006938,,0.894736842,,2.630532524
92386,Targett,DEF,4.9,NEW,2.75876408,2.827185133,2.827185133,,83.89047619,,2.856485968,,0.965789474,,2.75876408
192193,Jansson,DEF,4.5,BRE,2.778771651,2.805087441,2.805087441,,86.53571429,,2.81582194,,0.986842105,,2.778771651
225319,Konate,DEF,5.5,LIV,1.538369928,2.801527822,2.801527822,,33.15789474,,4.175575518,,0.368421053,,1.538369928
192195,Henry,DEF,4.7,BRE,2.737912134,2.790543713,2.790543713,,81.02380952,,2.81190976,,0.973684211,,2.737912134
137292,Justin,DEF,4.9,LEI,2.091283445,2.775493972,2.775493972,,53.5,,3.178750837,,0.657894737,,2.091283445
132438,Dawson,DEF,4.9,WHU,2.725643794,2.767749057,2.767749057,,84.98571429,,2.78425979,,0.978947368,,2.725643794
182119,Castagne,DEF,4.9,LEI,2.650204621,2.755467779,2.755467779,,72.07142857,,2.797438211,,0.947368421,,2.650204621
262617,M Sarr,DEF,5,CHE,1.467545382,2.730703277,2.730703277,,31.68421053,,3.983337467,,0.368421053,,1.467545382
241033,Varane,DEF,5.4,MUN,2.660751513,2.729172566,2.729172566,,82.14285714,,2.755001567,,0.965789474,,2.660751513
92423,Burn,DEF,4.7,NEW,2.618092681,2.697040049,2.697040049,,83.45238095,,2.725685531,,0.960526316,,2.618092681
234799,Ajer,DEF,4.4,BRE,2.644493655,2.670809445,2.670809445,,86.53571429,,2.679753571,,0.986842105,,2.644493655
23543,A Cresswell,DEF,5.2,WHU,2.545066926,2.650330084,2.650330084,,81.5,,2.686459533,,0.947368421,,2.545066926
45018,March,DEF,4.9,BHA,2.377938937,2.641096832,2.641096832,,47.5,,2.738232716,,0.868421053,,2.377938937
187802,Telles,DEF,5,MUN,2.213464586,2.634517217,2.634517217,,67.78571429,,2.803721809,,0.789473684,,2.213464586
231961,Guehi,DEF,4.8,CRY,2.498399829,2.603662987,2.603662987,,82.35714286,,2.63719982,,0.947368421,,2.498399829
23000,Zouma,DEF,5.2,WHU,2.560026707,2.60213197,2.60213197,,84.98571429,,2.615081044,,0.978947368,,2.560026707
186823,Fofana,DEF,4.5,LEI,2.17849875,2.599551382,2.599551382,,68.5,,2.75943175,,0.789473684,,2.17849875
187804,Andersen,DEF,4.7,CRY,2.554868151,2.596973414,2.596973414,,84.98571429,,2.609811552,,0.978947368,,2.554868151
139208,Webster,DEF,4.4,BHA,1.945806336,2.524753705,2.524753705,,49.78571429,,2.738542251,,0.710526316,,1.945806336
242908,Dalot,DEF,4.9,MUN,2.036962548,2.510646759,2.510646759,,64.26190476,,2.669123339,,0.763157895,,2.036962548
174861,Mitchell,DEF,4.8,CRY,2.293245709,2.503772024,2.503772024,,77.16666667,,2.563039321,,0.894736842,,2.293245709
23076,Maguire,DEF,5,MUN,1.88959936,2.468546728,2.468546728,,60.07142857,,2.659436136,,0.710526316,,1.88959936
91161,Schar,DEF,4.8,NEW,1.697871741,2.434713846,2.434713846,,55.5,,2.688296923,,0.631578947,,1.697871741
186817,Coufal,DEF,4.9,WHU,1.907992274,2.434308064,2.434308064,,62.16666667,,2.589418086,,0.736842105,,1.907992274
189201,Clyne,DEF,4.6,CRY,2.228321611,2.386216348,2.386216348,,79.33333333,,2.419320606,,0.921052632,,2.228321611
23289,K Long,DEF,4,BUR,1.103354547,2.366512441,2.366512441,,31.68421053,,2.994819484,,0.368421053,,1.103354547
88564,R Pereira,DEF,5.3,LEI,1.072764674,2.335922569,2.335922569,,27.63157895,,2.91178983,,0.368421053,,1.072764674
178132,Tsimikas,DEF,4.4,LIV,0.637426108,2.321636635,2.321636635,,11.84210526,,4.037032019,,0.157894737,,0.637426108
23379,Mee,DEF,5.1,BUR,0.844395259,2.31807947,2.31807947,,22.63157895,,3.208701985,,0.263157895,,0.844395259
45072,Lascelles,DEF,4.3,NEW,1.314687282,2.314687282,2.314687282,,41.5,,2.629374565,,0.5,,1.314687282
45053,Lindelof,DEF,4.8,MUN,1.363992176,2.311360597,2.311360597,,46.35714286,,2.591585134,,0.526315789,,1.363992176
192205,M Sorensen,DEF,4.5,BRE,2.257506279,2.310137858,2.310137858,,82.78571429,,2.318519962,,0.973684211,,2.257506279
175378,L Thomas,DEF,4.5,LEI,1.132621387,2.290516123,2.290516123,,36.21052632,,2.689975793,,0.421052632,,1.132621387
139838,Krafth,DEF,4.7,NEW,1.594998385,2.279208911,2.279208911,,54.69047619,,2.424397545,,0.657894737,,1.594998385
278659,Trippier,DEF,4.7,NEW,1.191157404,2.243788983,2.243788983,,35.52631579,,2.514665631,,0.473684211,,1.191157404
185165,Llorente,DEF,4.3,LEE,2.206964796,2.233280585,2.233280585,,85.64285714,,2.236390993,,0.986842105,,2.206964796
156990,Lamptey,DEF,4.6,BHA,2.020768646,2.231294962,2.231294962,,47.21428571,,2.258506134,,0.894736842,,2.020768646
32948,Wan-Bissaka,DEF,5.3,MUN,0.966919112,2.230077007,2.230077007,,32.42105263,,2.624494733,,0.368421053,,0.966919112
180456,Koch,DEF,4.3,LEE,2.135347841,2.214295209,2.214295209,,76.5,,2.223101861,,0.960526316,,2.135347841
189708,Rodon,DEF,4.5,TOT,0.708137288,2.181821498,2.181821498,,15.78947368,,2.690921694,,0.263157895,,0.708137288
45111,Christensen,DEF,5,CHE,0.313495777,2.155601041,2.155601041,,6.631578947,,3.970946513,,0.078947368,,0.313495777
