ID,Name,Pos,Price,Team,xPts GW18-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts if play,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Probability to play,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,xPts,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
24087,Dubravka,GK,4.5,NEW,79.44844155,80.00107313,25.82399624,,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,86.53571429,,3.656759593,3.566694681,3.750122502,3.799004171,4.074237214,3.810981894,4.010172455,3.973865533,3.651859009,3.87609052,4.172232588,3.566934223,4.10596568,3.473949699,4.159914642,3.826876921,4.005894645,3.655487155,3.622958409,3.834148453,3.913604118,,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,3.608644336,3.519764488,3.700778785,3.749017274,4.020628829,3.760837396,3.957407028,3.921577828,3.603808233,3.825089328,4.117334791,3.520000878,4.051939816,3.428239835,4.105178923,3.776523278,3.953185505,3.607388639,3.575287903,3.783699131,3.862109327
192988,R Sanchez,GK,4.6,BHA,89.70112894,94.00842659,29.4847454,,0,87.80904762,87.80904762,144.4519048,87.80904762,87.80904762,0,175.6180952,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,0.001069,4.519174262,3.893144175,6.45997321,4.494042846,3.970687014,0.001069,8.298221091,4.562585895,4.377897522,8.292432467,4.00285493,3.903955602,4.655818034,3.98449177,3.850375376,4.441176274,4.264781879,3.965901948,4.18169641,4.27781657,,0,0.991315789,0.991315789,0.994058172,0.991315789,0.991315789,0,0.995620187,0.991315789,0.991315789,0.995620187,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,0,4.479928801,3.859335292,6.421589159,4.455015632,3.936204732,0,8.261876434,4.522963438,4.339878938,8.256113163,3.968093296,3.870052829,4.61538593,3.949889604,3.816937905,4.402608164,4.227745616,3.93146122,4.145381678,4.240667111
23173,Fabianski,GK,5.1,WHU,82.01282411,86.06822578,26.67296428,,0,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,167.2857143,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,83.64285714,,0.001408,4.296209762,4.068768931,4.086915654,4.290196365,3.594466115,4.327503043,3.844869199,8.686678194,4.413601333,3.820628776,4.229379351,3.71580244,4.265473363,4.118979605,4.421225591,3.780151566,4.08544543,4.251518659,3.875945649,4.166736302,,0,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.972299169,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,0.947368421,,0,4.070093458,3.854623197,3.87181483,4.064396557,3.405283688,4.099739724,3.642507662,8.44604999,4.181306526,3.619543051,4.006780438,3.52023389,4.040974765,3.902191205,4.188529508,3.58119622,3.870421986,4.027754519,3.671948509,3.947434391
176642,de Gea,GK,5.1,MUN,90.14023976,94.44756663,30.41087661,,0,82.55,82.55,165.1,82.55,82.55,82.55,82.55,82.55,82.55,165.1,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,,0.00127,4.314947424,4.624661829,8.966652762,4.199423811,4.353128928,4.377308919,4.509990246,4.282359991,4.538934105,8.172096039,4.201745548,4.088598976,4.301726469,4.220061462,4.713714932,4.094885277,4.585373803,4.387207468,4.191647437,4.304456058,,0,0.939473684,0.939473684,0.967905125,0.939473684,0.939473684,0.939473684,0.939473684,0.939473684,0.939473684,0.967905125,0.939473684,0.939473684,0.939473684,0.939473684,0.939473684,0.939473684,0.939473684,0.939473684,0.939473684,0.939473684,,0,4.053779554,4.344748086,8.67886916,3.94524816,4.089650072,4.112366537,4.237017152,4.023164518,4.264209146,7.909813635,3.94742937,3.841131143,4.041358814,3.96463669,4.428411133,3.847036957,4.30783802,4.121665963,3.937942461,4.043923192
88473,A Fernandez,GK,4.5,BRE,84.80059648,87.13074731,28.05751683,,0,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,0.001582,3.981631016,3.770968337,7.824894261,3.810128707,4.186594319,3.784944265,4.136821781,3.69123553,4.157158548,7.629083773,4.201978485,3.68656875,3.674630106,3.916856243,3.876002342,3.749050745,3.443215725,4.07921178,3.793898834,4.081497671,,0,0.991315789,0.991315789,0.995620187,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.995620187,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,0,3.947053694,3.738220454,7.790622687,3.777040748,4.150237052,3.752075012,4.10089675,3.659180063,4.121056908,7.595669812,4.16548762,3.654553811,3.642718845,3.882841439,3.842342321,3.7164932,3.413314115,4.043787046,3.760951818,4.046053086
23397,Pickford,GK,5,EVE,80.38773008,82.7264897,27.39929977,,0,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,,0.00117,3.920008052,4.167605839,8.002471642,4.014909361,3.991876921,3.855913897,4.059253931,3.801149166,3.663020708,3.470618544,4.183258372,3.830874801,3.651201954,3.576207938,4.129311954,3.639137328,3.719667088,3.614709592,4.146082559,3.61992242,,0,0.991315789,0.991315789,0.995620187,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,,0,3.885965877,4.131413473,7.967422313,3.980043043,3.957210621,3.822428329,4.024002515,3.768139186,3.631210265,3.440478962,4.146930075,3.797606678,3.619494148,3.545151396,4.093452139,3.607534293,3.687364716,3.583318693,4.110077105,3.588486252
197282,Bachmann,GK,4.5,WAT,41.29472361,61.61682126,22.08856489,,0,87.80904762,87.80904762,172.5519048,77.67857143,65.70952381,51.81666667,38.04047619,121.5353634,33.72631579,33.72631579,33.72631579,33.72631579,33.72631579,33.72631579,33.72631579,33.72631579,33.72631579,33.72631579,33.72631579,33.72631579,,0.001389,3.378317033,3.355640758,6.570118138,3.314528486,3.727324026,3.045910738,3.539491558,6.928760563,2.731146325,3.183280865,3.145794098,3.37324689,2.968702727,3.389484954,3.483006585,2.955145547,3.535588296,3.201962496,3.182803479,2.916933344,,0,0.991315789,0.991315789,0.977437327,0.881578947,0.747368421,0.586842105,0.428947368,0.686777008,0.378947368,0.378947368,0.378947368,0.378947368,0.378947368,0.378947368,0.378947368,0.378947368,0.378947368,0.378947368,0.378947368,0.378947368,,0,3.348979016,3.326499668,6.42187871,2.922018534,2.785684272,1.78746867,1.518255589,4.758513451,1.034960713,1.206295907,1.192090395,1.278283032,1.124982086,1.284436404,1.31987618,1.119844628,1.33980188,1.213375262,1.206115002,1.105364214
178022,Schmeichel,GK,5,LEI,80.89977391,83.22992475,25.9736555,,0,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,87.80904762,175.6180952,87.80904762,87.80904762,,0.0012,3.326331406,3.431014095,7.810828549,3.800275655,4.101804393,3.331421091,3.777012107,3.789118605,3.348365434,3.950695494,3.456525456,4.053461112,3.190226792,4.046952206,3.771168034,3.897616808,3.332519006,7.459879968,3.700488172,3.966467719,,0,0.991315789,0.991315789,0.995620187,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.991315789,0.995620187,0.991315789,0.991315789,,0,3.297444844,3.401218446,7.776618581,3.767273262,4.066183461,3.302490329,3.744211739,3.756213102,3.319287524,3.916386822,3.426508262,4.018260002,3.162522191,4.011807621,3.738418417,3.863769083,3.30357871,7.427207089,3.668352353,3.932022079
189710,Guaita,GK,4.7,CRY,76.98961709,79.58414617,24.71974169,,0,84.07142857,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,159.5714286,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,87.42857143,,0.001146,3.381898277,4.215557106,3.805642508,3.841411662,3.497879969,3.934875883,3.793084703,6.638388935,4.116877554,3.821790757,3.50662048,3.797142344,3.760865541,3.502697291,3.671704489,3.973299262,3.711697469,4.018233127,3.640053728,3.485596639,,0,0.947368421,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.992209141,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,0.986842105,,0,3.203903631,4.160089249,3.755568265,3.790866772,3.451855233,3.8831012,3.743175694,6.586670185,4.062708113,3.771504037,3.460480737,3.747179945,3.711380468,3.456609169,3.623392587,3.921019009,3.662859345,3.965361639,3.592158284,3.439733526
251271,Krul,GK,4.5,NOR,66.34632726,69.37333557,21.68202914,,0,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,171.7380952,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,85.86904762,,0.001314,3.217964879,3.266039839,3.05371168,3.395413291,3.245169577,3.50349269,3.087470484,6.145511071,3.219681922,3.515168068,3.237404484,3.113745843,3.356448071,3.565809352,2.809403853,3.531332775,3.141664524,3.257094168,3.30541886,3.090663827,,0,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.986495845,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,0.973684211,,0,3.133281592,3.180091422,2.973350846,3.30606031,3.159770377,3.411295514,3.006221261,6.062521137,3.13495345,3.422663645,3.152209629,3.031805163,3.26812049,3.471972264,2.735472173,3.438402965,3.058989142,3.171381164,3.218434153,3.009330568
