ID,xMins,xPts
1,87.80904762,3.918630952
2,1.842105263,0.077327637
3,9.473684211,0.543604643
4,70.35714286,4.176396588
5,25.89473684,1.000481122
6,54.92857143,3.362243842
7,79.26190476,2.474822991
8,80.64285714,3.028408428
9,11.84210526,0.538254894
10,67.5,2.863057644
11,3.684210526,0.150799738
12,70.16666667,2.221401902
13,20.21052632,0.810704046
14,4.210526316,0.16566274
15,0,0
16,78.23809524,3.204264005
17,53.5,3.167522234
18,4.421052632,0.1734614
19,58.5,2.923205334
20,0,0
21,62.42857143,2.393785137
22,69.33333333,3.174657318
23,8.842105263,0.33116253
24,0,0
25,0,0
26,33.15789474,1.889081653
27,0,0
28,1.842105263,0.072017905
29,7.105263158,0.396142168
30,87.80904762,4.128873811
31,0,0
32,73.97619048,3.818257654
33,46.16666667,2.265868089
34,3.684210526,0.195943969
35,82.78571429,2.850266491
36,10.52631579,0.434541176
37,0,0
38,81,3.023720995
39,63.5,2.523556302
40,39.5,2.187614556
41,22.73684211,0.752853261
42,73.97619048,4.025010491
43,36.83333333,1.931159792
44,79.97619048,3.127727108
45,81,3.147182437
46,3.684210526,0.139063575
47,0.526315789,0.039520305
48,0,0
49,6.315789474,0.330863115
50,60.64285714,1.951463465
51,18.94736842,0.823756315
52,29.47368421,1.087868341
53,49.78571429,2.328110085
54,1.657894737,0.069242392
55,77.5,3.710430149
56,12.63157895,0.526565894
57,0,0
58,27.63157895,1.118872116
59,76.83333333,3.536332054
60,69.54761905,2.896768903
61,77.66666667,3.123845313
62,82.32857143,3.442968454
63,75.73809524,3.589690427
64,66.07142857,3.479330579
65,0,0
66,0,0
67,81.71428571,3.10698774
68,0,0
69,87.80904762,3.854125126
70,80.8452381,2.398849333
71,1.578947368,0.065633411
72,41.5952381,1.847526951
73,4.736842105,0.197688777
74,49.21428571,2.058034502
75,57.07142857,2.085140706
76,78.5,2.405280365
77,45.4047619,1.405875594
78,68.26190476,3.255580229
79,42.78571429,1.741321669
80,87.80904762,2.990286958
81,67.80952381,2.864506074
82,11.36842105,0.474441245
83,8.421052632,0.26023275
84,61.4047619,2.002129324
85,23.68421053,1.078247924
86,68.67857143,2.552178328
87,12.63157895,0.370184817
88,36.83333333,1.849355823
89,57.66666667,2.067079118
90,36.21052632,1.038455421
91,74.21428571,2.38211075
92,0,0
93,5.684210526,0.261830001
94,0.184210526,0.005913373
95,4.210526316,0.191376203
96,69.54761905,3.035037398
97,1.184210526,0.05017732
98,85.42857143,3.584387802
99,35.36842105,1.249149393
100,11.84210526,0.577793447
101,69.5,2.092461976
102,5.052631579,0.236134166
103,7.894736842,0.29858826
104,46.35714286,2.059526763
105,15.78947368,1.065896698
106,86.53571429,3.379639817
107,83.66666667,2.957488919
108,45.92857143,1.965256293
